A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1500,1500,1500,2,0.011,2.864,2.874
1500,1500,1500,2,0.013,2.946,2.959
1500,1500,1500,2,0.013,2.933,2.946
1500,1500,1500,2,0.013,2.930,2.943
1500,1500,1500,2,0.013,2.929,2.942
1500,1500,1500,2,0.013,2.919,2.932
1500,1500,1500,2,0.015,2.910,2.925
1500,1500,1500,2,0.013,2.923,2.936
1500,1500,1500,2,0.013,2.922,2.935
1500,1500,1500,2,0.013,2.924,2.937
1500,1500,1500,2,0.013,2.939,2.952
1500,1500,1500,2,0.013,2.914,2.927
1500,1500,1500,2,0.013,2.913,2.926
1500,1500,1500,2,0.013,2.922,2.935
1500,1500,1500,2,0.013,2.921,2.934
