A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1500,1500,1500,8,0.017,1.360,0.116,1.494
1500,1500,1500,8,0.021,1.383,0.101,1.504
1500,1500,1500,8,0.021,1.385,0.088,1.494
1500,1500,1500,8,0.020,1.387,0.101,1.508
1500,1500,1500,8,0.019,1.384,0.094,1.498
1500,1500,1500,8,0.020,1.373,0.085,1.477
1500,1500,1500,8,0.019,1.368,0.080,1.468
1500,1500,1500,8,0.020,1.381,0.095,1.497
1500,1500,1500,8,0.020,1.370,0.074,1.464
1500,1500,1500,8,0.021,1.382,0.090,1.492
1500,1500,1500,8,0.020,1.402,0.113,1.535
1500,1500,1500,8,0.019,1.373,0.084,1.475
1500,1500,1500,8,0.021,1.366,0.069,1.456
1500,1500,1500,8,0.021,1.373,0.080,1.473
1500,1500,1500,8,0.021,1.375,0.088,1.484
