NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
262144,1024,16,0,0.001365,0.033524,0.034889,0.035,0.035,0.000,100.18
262144,1024,16,0,0.001376,0.034438,0.035814,0.036,0.036,0.000,100.15
262144,1024,16,0,0.001369,0.037337,0.038706,0.040,0.040,0.000,100.32
262144,1024,16,0,0.001779,0.034625,0.036404,0.037,0.037,0.000,100.13
262144,1024,16,0,0.001325,0.034367,0.035692,0.036,0.036,0.000,100.24
262144,1024,16,0,0.001671,0.038255,0.039926,0.041,0.041,0.000,100.16
262144,1024,16,0,0.001445,0.034307,0.035752,0.036,0.036,0.000,100.17
