A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
500,500,500,32,0.224,1.631,1.855
500,500,500,32,0.258,1.447,1.705
500,500,500,32,0.201,1.130,1.331
500,500,500,32,0.227,1.320,1.548
500,500,500,32,0.258,1.532,1.790
500,500,500,32,0.244,1.240,1.484
500,500,500,32,0.206,1.311,1.518
500,500,500,32,0.197,1.461,1.658
500,500,500,32,0.258,1.359,1.617
500,500,500,32,0.229,1.286,1.515
500,500,500,32,0.196,1.141,1.337
500,500,500,32,0.287,1.132,1.420
500,500,500,32,0.222,1.397,1.619
500,500,500,32,0.223,1.381,1.604
500,500,500,32,0.235,1.438,1.672
500,500,500,32,0.253,1.393,1.646
500,500,500,32,0.213,1.295,1.508
500,500,500,32,0.216,1.211,1.427
500,500,500,32,0.201,1.330,1.531
500,500,500,32,0.224,1.346,1.570
500,500,500,32,0.223,1.370,1.593
500,500,500,32,0.216,1.287,1.503
500,500,500,32,0.194,1.308,1.502
500,500,500,32,0.222,1.033,1.255
500,500,500,32,0.291,1.399,1.690
500,500,500,32,0.212,1.259,1.471
500,500,500,32,0.202,1.269,1.471
500,500,500,32,0.229,1.562,1.791
500,500,500,32,0.256,1.302,1.557
500,500,500,32,0.207,1.345,1.552
500,500,500,32,0.195,1.263,1.458
500,500,500,32,0.214,1.162,1.376
500,500,500,32,0.212,1.224,1.436
500,500,500,32,0.289,1.330,1.619
500,500,500,32,0.284,1.247,1.530
500,500,500,32,0.256,1.308,1.564
500,500,500,32,0.226,1.490,1.717
500,500,500,32,0.226,1.383,1.609
500,500,500,32,0.222,1.400,1.622
500,500,500,32,0.199,1.092,1.290
500,500,500,32,0.199,1.332,1.531
500,500,500,32,0.227,1.384,1.611
500,500,500,32,0.234,1.331,1.566
500,500,500,32,0.224,1.395,1.620
500,500,500,32,0.250,1.379,1.628
500,500,500,32,0.193,1.258,1.452
500,500,500,32,0.245,1.383,1.628
500,500,500,32,0.217,1.412,1.629
500,500,500,32,0.227,1.438,1.665
500,500,500,32,0.289,1.652,1.941
500,500,500,32,0.171,1.277,1.448
500,500,500,32,0.192,1.459,1.652
500,500,500,32,0.243,1.309,1.552
500,500,500,32,0.218,1.232,1.451
500,500,500,32,0.223,1.133,1.356
500,500,500,32,0.201,1.222,1.424
500,500,500,32,0.257,1.381,1.639
500,500,500,32,0.200,1.229,1.429
500,500,500,32,0.255,1.325,1.581
500,500,500,32,0.260,1.220,1.480
500,500,500,32,0.222,1.617,1.839
500,500,500,32,0.258,1.163,1.421
500,500,500,32,0.159,1.350,1.509
500,500,500,32,0.238,1.327,1.565
500,500,500,32,0.259,1.474,1.733
500,500,500,32,0.219,1.192,1.411
500,500,500,32,0.188,1.398,1.586
500,500,500,32,0.253,1.466,1.718
500,500,500,32,0.261,1.328,1.588
500,500,500,32,0.217,1.491,1.708
500,500,500,32,0.226,1.378,1.604
500,500,500,32,0.196,1.235,1.431
500,500,500,32,0.197,1.507,1.703
500,500,500,32,0.227,1.564,1.790
500,500,500,32,0.197,1.467,1.665
500,500,500,32,0.226,1.419,1.646
500,500,500,32,0.196,1.322,1.517
500,500,500,32,0.276,1.375,1.651
500,500,500,32,0.221,1.271,1.492
500,500,500,32,0.195,1.183,1.378
500,500,500,32,0.254,1.213,1.467
500,500,500,32,0.192,1.354,1.546
500,500,500,32,0.194,1.237,1.430
500,500,500,32,0.238,1.402,1.641
500,500,500,32,0.228,1.336,1.564
500,500,500,32,0.219,1.334,1.553
500,500,500,32,0.196,1.468,1.664
500,500,500,32,0.262,1.422,1.684
500,500,500,32,0.233,1.288,1.521
500,500,500,32,0.231,1.382,1.612
500,500,500,32,0.228,1.436,1.664
500,500,500,32,0.205,1.237,1.442
500,500,500,32,0.287,1.328,1.614
500,500,500,32,0.222,1.391,1.613
500,500,500,32,0.183,1.315,1.498
500,500,500,32,0.176,1.233,1.409
500,500,500,32,0.286,1.472,1.758
500,500,500,32,0.178,1.166,1.344
500,500,500,32,0.182,1.361,1.543
500,500,500,32,0.211,1.359,1.570
