A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
500,500,500,16,0.122,0.054,0.385,0.561
500,500,500,16,0.100,0.054,0.444,0.599
500,500,500,16,0.126,0.054,0.572,0.752
500,500,500,16,0.162,0.053,0.566,0.781
500,500,500,16,0.153,0.054,0.513,0.720
500,500,500,16,0.098,0.056,0.408,0.562
500,500,500,16,0.162,0.054,0.558,0.773
500,500,500,16,0.066,0.054,0.536,0.657
500,500,500,16,0.122,0.050,0.420,0.592
500,500,500,16,0.098,0.051,0.564,0.713
500,500,500,16,0.126,0.054,0.597,0.777
500,500,500,16,0.126,0.057,0.374,0.557
500,500,500,16,0.094,0.054,0.344,0.492
500,500,500,16,0.165,0.058,0.601,0.824
500,500,500,16,0.066,0.055,0.600,0.720
