| Version  | Processes |      ReadFromFile     |      MatrixDot      |      WriteToFile      |       Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     | 0.0014285714285714286 |  0.5285714285714287 | 0.0014285714285714286 |  0.5314285714285715 |        1.0         |         1.0         |
| Parallel |     1     |  0.002142857142857143 |  0.7999999999999999 |         0.001         |  0.8031428571428572 | 0.6616862326574173 |  0.6616862326574173 |
| Parallel |     2     |  0.001142857142857143 | 0.47114285714285714 |         0.002         | 0.47471428571428576 | 1.1194703581101415 |  0.5597351790550708 |
| Parallel |     4     | 0.0017142857142857144 |  0.2894285714285714 |  0.006285714285714285 | 0.29728571428571426 | 1.7876021143680925 |  0.4469005285920231 |
| Parallel |     8     |         0.002         | 0.18528571428571428 |  0.01685714285714286  | 0.20414285714285713 | 2.6032190342897135 |  0.3254023792862142 |
| Parallel |     16    |         0.118         |  0.2225714285714286 |  0.49299999999999994  |  0.8334285714285714 | 0.6376414124100104 | 0.03985258827562565 |
