NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
262144,512,5,16,0.984883,0.126528,0.314,0.121,0.800,919.09
262144,512,5,16,1.046526,0.129193,0.347,0.129,0.832,913.47
262144,512,5,16,0.958862,0.129092,0.389,0.121,0.702,900.46
262144,512,5,16,1.086925,0.144423,0.421,0.135,0.813,911.35
262144,512,5,16,0.840707,0.141226,0.369,0.114,0.615,867.09
262144,512,5,16,1.040897,0.138897,0.317,0.132,0.866,895.40
262144,512,5,16,0.991303,0.133137,0.296,0.128,0.831,884.47
262144,512,5,16,1.021321,0.136826,0.290,0.132,0.870,882.00
262144,512,5,16,1.001568,0.130614,0.330,0.124,0.805,915.77
262144,512,5,16,0.930337,0.127459,0.415,0.116,0.645,914.78
262144,512,5,16,0.946326,0.130511,0.307,0.119,0.773,909.38
262144,512,5,16,1.018860,0.130549,0.394,0.126,0.759,915.55
262144,512,5,16,1.063023,0.128851,0.264,0.129,0.931,929.55
262144,512,5,16,1.033883,0.127438,0.448,0.126,0.716,925.08
262144,512,5,16,0.986638,0.132260,0.219,0.122,0.903,918.54
262144,512,5,16,1.053501,0.127644,0.313,0.129,0.871,918.95
262144,512,5,16,0.958313,0.125884,0.297,0.118,0.790,919.41
262144,512,5,16,1.012018,0.129516,0.319,0.124,0.825,925.49
262144,512,5,16,1.033283,0.130144,0.254,0.126,0.912,925.31
262144,512,5,16,0.925272,0.128140,0.225,0.115,0.830,916.58
262144,512,5,16,1.038103,0.127391,0.234,0.126,0.934,929.92
262144,512,5,16,0.894515,0.127175,0.407,0.113,0.617,908.59
262144,512,5,16,0.990555,0.129011,0.253,0.123,0.869,912.98
262144,512,5,16,1.058905,0.127166,0.336,0.127,0.853,933.03
262144,512,5,16,0.921493,0.126676,0.303,0.115,0.748,914.66
