NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
262144,512,5,8,0.378652,0.157555,0.326,0.080,0.212,673.44
262144,512,5,8,0.360398,0.151031,0.355,0.073,0.160,702.78
262144,512,5,8,0.369638,0.155499,0.278,0.074,0.250,712.22
262144,512,5,8,0.360199,0.150971,0.316,0.073,0.197,703.68
262144,512,5,8,0.364082,0.165819,0.250,0.075,0.283,711.09
262144,512,5,8,0.350615,0.148980,0.340,0.075,0.162,669.93
262144,512,5,8,0.327372,0.151783,0.308,0.072,0.174,672.77
262144,512,5,8,0.342661,0.153370,0.296,0.074,0.202,674.83
262144,512,5,8,0.361666,0.160581,0.254,0.076,0.270,693.27
262144,512,5,8,0.324047,0.145683,0.299,0.071,0.173,664.97
262144,512,5,8,0.332699,0.146833,0.313,0.071,0.168,673.89
262144,512,5,8,0.410193,0.152087,0.323,0.085,0.242,663.92
262144,512,5,8,0.349664,0.156396,0.269,0.073,0.239,692.49
262144,512,5,8,0.406950,0.149055,0.293,0.081,0.266,692.11
262144,512,5,8,0.347463,0.152220,0.312,0.074,0.190,680.07
262144,512,5,8,0.335367,0.149559,0.264,0.070,0.224,699.99
262144,512,5,8,0.341445,0.147921,0.239,0.070,0.253,704.01
262144,512,5,8,0.336241,0.157714,0.336,0.072,0.160,686.16
262144,512,5,8,0.345684,0.149458,0.290,0.073,0.207,677.50
262144,512,5,8,0.343151,0.146769,0.279,0.072,0.213,679.63
262144,512,5,8,0.341821,0.152298,0.255,0.072,0.242,687.93
262144,512,5,8,0.399734,0.174672,0.385,0.086,0.192,671.25
262144,512,5,8,0.338096,0.153604,0.254,0.072,0.240,682.60
262144,512,5,8,0.338987,0.147052,0.244,0.073,0.244,666.43
262144,512,5,8,0.347291,0.155333,0.253,0.075,0.252,674.31
