NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
262144,512,5,16,1.031149,0.138513,0.353,0.128,0.819,915.11
262144,512,5,16,0.894647,0.127257,0.253,0.113,0.772,906.24
262144,512,5,16,1.014020,0.127277,0.254,0.123,0.889,926.84
262144,512,5,16,1.061677,0.130698,0.197,0.128,0.998,935.04
262144,512,5,16,0.956818,0.128679,0.265,0.119,0.823,911.41
262144,512,5,16,1.091219,0.125055,0.373,0.132,0.846,924.21
262144,512,5,16,0.988547,0.124308,0.283,0.122,0.833,916.71
262144,512,5,16,1.016991,0.129613,0.331,0.124,0.818,929.08
262144,512,5,16,1.121136,0.128380,0.313,0.133,0.939,939.29
262144,512,5,16,1.055832,0.127847,0.408,0.128,0.778,925.98
262144,512,5,16,0.960308,0.127898,0.306,0.119,0.785,913.70
262144,512,5,16,0.991387,0.127696,0.329,0.123,0.793,912.77
262144,512,5,16,0.997081,0.130735,0.319,0.125,0.812,902.89
262144,512,5,16,0.958146,0.128911,0.363,0.118,0.726,923.32
262144,512,5,16,1.034023,0.128311,0.347,0.126,0.818,925.20
262144,512,5,16,0.960074,0.125960,0.244,0.118,0.845,919.49
262144,512,5,16,1.046672,0.127244,0.305,0.127,0.873,929.47
262144,512,5,16,0.925995,0.125312,0.280,0.116,0.774,905.32
262144,512,5,16,1.043150,0.130292,0.309,0.129,0.867,911.11
262144,512,5,16,1.095715,0.130587,0.165,0.133,1.064,924.78
262144,512,5,16,1.070153,0.127895,0.280,0.130,0.920,921.94
262144,512,5,16,0.904745,0.133289,0.298,0.119,0.744,872.78
262144,512,5,16,0.974730,0.130378,0.374,0.122,0.734,910.07
262144,512,5,16,1.031542,0.126508,0.417,0.124,0.743,938.91
262144,512,5,16,0.909625,0.127336,0.362,0.116,0.678,898.22
