NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
262144,512,5,4,0.151183,0.083985,0.178,0.068,0.059,350.64
262144,512,5,4,0.201680,0.105182,0.161,0.085,0.148,363.97
262144,512,5,4,0.167208,0.087897,0.167,0.074,0.091,346.25
262144,512,5,4,0.170591,0.094118,0.174,0.082,0.093,327.25
262144,512,5,4,0.169824,0.090087,0.200,0.078,0.063,336.80
262144,512,5,4,0.196470,0.084555,0.198,0.077,0.085,367.68
262144,512,5,4,0.148854,0.091380,0.182,0.070,0.061,345.38
262144,512,5,4,0.181525,0.098026,0.184,0.077,0.098,367.17
262144,512,5,4,0.189201,0.108119,0.170,0.083,0.130,362.54
262144,512,5,4,0.237597,0.116824,0.222,0.116,0.135,307.86
262144,512,5,4,0.220857,0.088602,0.172,0.088,0.140,356.04
262144,512,5,4,0.184451,0.088566,0.179,0.080,0.096,346.22
262144,512,5,4,0.201630,0.097192,0.181,0.087,0.120,345.26
262144,512,5,4,0.213251,0.087880,0.166,0.095,0.138,318.67
262144,512,5,4,0.171800,0.100730,0.200,0.076,0.075,361.04
262144,512,5,4,0.151212,0.088996,0.169,0.070,0.074,345.66
262144,512,5,4,0.150455,0.087404,0.152,0.068,0.088,351.04
262144,512,5,4,0.196117,0.109523,0.193,0.086,0.115,359.79
262144,512,5,4,0.181712,0.090025,0.183,0.076,0.091,359.66
262144,512,5,4,0.186849,0.096206,0.161,0.081,0.124,352.17
262144,512,5,4,0.168097,0.088776,0.173,0.073,0.086,354.18
262144,512,5,4,0.199924,0.119167,0.241,0.097,0.080,332.57
262144,512,5,4,0.187197,0.116677,0.230,0.085,0.076,359.19
262144,512,5,4,0.222725,0.090262,0.242,0.094,0.073,335.83
262144,512,5,4,0.165360,0.084072,0.133,0.072,0.119,347.40
