NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
262144,512,5,8,0.378457,0.149533,0.330,0.080,0.201,661.84
262144,512,5,8,0.357352,0.161397,0.303,0.077,0.218,677.27
262144,512,5,8,0.351876,0.151512,0.318,0.072,0.188,701.99
262144,512,5,8,0.336738,0.152453,0.238,0.073,0.253,674.78
262144,512,5,8,0.346200,0.150295,0.285,0.071,0.214,700.02
262144,512,5,8,0.351467,0.154958,0.287,0.076,0.222,669.96
262144,512,5,8,0.339966,0.148266,0.323,0.075,0.168,656.59
262144,512,5,8,0.342453,0.154321,0.212,0.072,0.287,694.77
262144,512,5,8,0.323358,0.147374,0.275,0.068,0.198,697.69
262144,512,5,8,0.339672,0.142804,0.243,0.069,0.242,702.10
262144,512,5,8,0.337510,0.145572,0.283,0.071,0.202,687.20
262144,512,5,8,0.354001,0.151431,0.294,0.074,0.214,682.79
262144,512,5,8,0.337211,0.161812,0.265,0.072,0.237,696.34
262144,512,5,8,0.339742,0.149957,0.268,0.070,0.224,698.23
262144,512,5,8,0.345070,0.151585,0.310,0.073,0.189,683.49
262144,512,5,8,0.350729,0.163292,0.293,0.076,0.223,679.56
262144,512,5,8,0.336912,0.150538,0.280,0.074,0.210,665.39
262144,512,5,8,0.343887,0.148629,0.254,0.070,0.241,707.28
262144,512,5,8,0.350689,0.152815,0.318,0.074,0.188,686.47
262144,512,5,8,0.345911,0.148262,0.310,0.073,0.186,680.03
262144,512,5,8,0.343515,0.172126,0.305,0.076,0.213,679.87
262144,512,5,8,0.343817,0.148921,0.226,0.071,0.269,696.78
262144,512,5,8,0.342910,0.149183,0.297,0.071,0.198,693.66
262144,512,5,8,0.357598,0.150013,0.268,0.075,0.242,680.78
262144,512,5,8,0.342288,0.160335,0.221,0.072,0.284,699.18
