NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
65536,256,5,2,0.000309,0.010657,0.010966,0.024,0.013,0.000,183.74
65536,256,5,2,0.000310,0.009734,0.010044,0.022,0.012,0.000,182.01
65536,256,5,2,0.000468,0.009061,0.009529,0.017,0.012,0.004,182.26
65536,256,5,2,0.000322,0.009086,0.009408,0.021,0.011,0.000,183.63
65536,256,5,2,0.000356,0.009377,0.009733,0.017,0.012,0.004,183.48
65536,256,5,2,0.000339,0.010581,0.010920,0.024,0.013,0.000,183.67
65536,256,5,2,0.000448,0.016263,0.016711,0.032,0.019,0.004,189.92
65536,256,5,2,0.000304,0.009138,0.009442,0.021,0.011,0.000,183.78
65536,256,5,2,0.000314,0.009050,0.009364,0.021,0.011,0.000,181.21
65536,256,5,2,0.000301,0.008939,0.009240,0.016,0.011,0.004,183.11
65536,256,5,2,0.000352,0.009054,0.009406,0.014,0.011,0.007,184.42
65536,256,5,2,0.000331,0.009186,0.009517,0.021,0.011,0.000,180.74
65536,256,5,2,0.000340,0.012881,0.013221,0.024,0.016,0.004,182.94
65536,256,5,2,0.000295,0.009520,0.009815,0.022,0.012,0.000,184.46
65536,256,5,2,0.000283,0.008931,0.009214,0.020,0.011,0.000,183.50
65536,256,5,2,0.000355,0.009248,0.009603,0.022,0.012,0.000,179.59
65536,256,5,2,0.000376,0.009875,0.010251,0.018,0.012,0.004,185.14
65536,256,5,2,0.000311,0.011132,0.011443,0.025,0.013,0.000,184.56
65536,256,5,2,0.000329,0.008919,0.009248,0.017,0.011,0.003,183.25
65536,256,5,2,0.000299,0.012465,0.012764,0.023,0.015,0.004,183.84
65536,256,5,2,0.000451,0.016169,0.016620,0.035,0.019,0.000,189.67
65536,256,5,2,0.000315,0.009385,0.009700,0.021,0.012,0.000,184.09
65536,256,5,2,0.000389,0.009900,0.010289,0.023,0.012,0.000,183.93
65536,256,5,2,0.000331,0.009386,0.009717,0.017,0.012,0.004,183.50
65536,256,5,2,0.000509,0.016238,0.016747,0.032,0.019,0.004,189.57
