| Version  | Processes |     generatePoints    |    classifyPoint     |         user        |       Elapsed        |       Speedup       |      Efficiency      |
|  Serial  |     1     | 0.0019836800000000003 |      0.0062146       |       0.00764       |       0.00924        |         1.0         |         1.0          |
| Parallel |     1     | 0.0018386400000000003 |      0.01611324      |       0.01852       |        0.0192        | 0.48125000000000007 | 0.48125000000000007  |
| Parallel |     2     |  0.030250920000000004 | 0.014459960000000001 |       0.03252       | 0.026520000000000002 | 0.34841628959276016 | 0.17420814479638008  |
| Parallel |     4     |       0.04667184      |      0.0133948       |       0.03696       |       0.02048        | 0.45117187499999994 | 0.11279296874999999  |
| Parallel |     8     |  0.09105068000000001  | 0.031067640000000004 | 0.07028000000000001 |         0.02         | 0.46199999999999997 | 0.057749999999999996 |
| Parallel |     16    |       0.20349584      |      0.04335332      |        0.0614       |        0.034         |  0.2717647058823529 | 0.016985294117647057 |
