NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
65536,256,5,2,0.041188,0.010309,0.021,0.031,0.032,169.97
65536,256,5,2,0.035511,0.016439,0.036,0.028,0.018,193.32
65536,256,5,2,0.034934,0.014540,0.031,0.029,0.020,178.55
65536,256,5,2,0.036097,0.010640,0.037,0.030,0.012,162.69
65536,256,5,2,0.024595,0.011477,0.025,0.024,0.012,160.84
65536,256,5,2,0.035656,0.020052,0.057,0.030,0.000,191.33
65536,256,5,2,0.024217,0.010158,0.036,0.025,0.000,147.21
65536,256,5,2,0.029400,0.010422,0.031,0.026,0.010,156.51
65536,256,5,2,0.026387,0.011601,0.029,0.024,0.010,161.80
65536,256,5,2,0.019341,0.022038,0.032,0.026,0.011,162.08
65536,256,5,2,0.027932,0.017158,0.035,0.025,0.012,183.97
65536,256,5,2,0.028231,0.011146,0.027,0.024,0.013,167.13
65536,256,5,2,0.043668,0.014938,0.030,0.033,0.030,182.51
65536,256,5,2,0.032346,0.012560,0.031,0.026,0.015,176.53
65536,256,5,2,0.018891,0.010244,0.031,0.020,0.000,151.51
65536,256,5,2,0.029347,0.023902,0.044,0.028,0.011,192.17
65536,256,5,2,0.040729,0.012103,0.027,0.030,0.027,181.07
65536,256,5,2,0.046815,0.015623,0.032,0.034,0.032,188.02
65536,256,5,2,0.025667,0.019383,0.037,0.025,0.009,183.63
65536,256,5,2,0.017779,0.012668,0.016,0.020,0.016,157.96
65536,256,5,2,0.035127,0.008341,0.030,0.027,0.015,166.50
65536,256,5,2,0.017871,0.017654,0.025,0.022,0.012,166.82
65536,256,5,2,0.021186,0.017138,0.040,0.023,0.000,178.86
65536,256,5,2,0.031520,0.015066,0.032,0.026,0.016,184.96
65536,256,5,2,0.031838,0.015899,0.041,0.027,0.008,182.07
