NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
65536,256,5,0,0.000437,0.014778,0.015215,0.014,0.017,0.003,100.26
65536,256,5,0,0.000513,0.014485,0.014998,0.017,0.017,0.000,99.67
65536,256,5,0,0.000566,0.017034,0.017600,0.014,0.019,0.005,99.31
65536,256,5,0,0.000785,0.015228,0.016013,0.014,0.018,0.004,99.66
65536,256,5,0,0.000458,0.014524,0.014982,0.016,0.016,0.000,100.00
65536,256,5,0,0.000448,0.015244,0.015692,0.017,0.017,0.000,100.49
65536,256,5,0,0.000777,0.015886,0.016663,0.018,0.018,0.000,100.45
65536,256,5,0,0.000489,0.014901,0.015390,0.017,0.017,0.000,100.40
65536,256,5,0,0.000438,0.015174,0.015612,0.017,0.017,0.000,97.42
65536,256,5,0,0.000453,0.014520,0.014973,0.016,0.017,0.000,100.36
65536,256,5,0,0.000606,0.014656,0.015262,0.013,0.017,0.004,100.40
65536,256,5,0,0.000453,0.014670,0.015123,0.017,0.017,0.000,100.41
65536,256,5,0,0.000424,0.014575,0.014999,0.017,0.016,0.000,100.35
65536,256,5,0,0.000425,0.014680,0.015105,0.017,0.017,0.000,100.39
65536,256,5,0,0.000470,0.016699,0.017169,0.015,0.019,0.004,100.35
65536,256,5,0,0.000435,0.014537,0.014972,0.017,0.017,0.000,100.38
65536,256,5,0,0.000437,0.016728,0.017165,0.015,0.019,0.004,100.18
65536,256,5,0,0.000421,0.016051,0.016472,0.018,0.018,0.000,100.29
65536,256,5,0,0.000426,0.014663,0.015089,0.017,0.017,0.000,100.41
65536,256,5,0,0.000438,0.014744,0.015182,0.013,0.017,0.003,98.68
65536,256,5,0,0.000795,0.016403,0.017198,0.019,0.019,0.000,100.42
65536,256,5,0,0.000443,0.014463,0.014906,0.010,0.016,0.006,100.53
65536,256,5,0,0.000465,0.015590,0.016055,0.014,0.018,0.003,99.41
65536,256,5,0,0.000504,0.015036,0.015540,0.017,0.017,0.000,100.53
65536,256,5,0,0.000425,0.014964,0.015389,0.017,0.017,0.000,99.27
