NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
65536,256,5,8,0.093482,0.007951,0.017,0.021,0.086,498.25
65536,256,5,8,0.089008,0.031107,0.091,0.020,0.030,606.64
65536,256,5,8,0.103097,0.048479,0.106,0.021,0.047,720.11
65536,256,5,8,0.112770,0.005494,0.048,0.022,0.072,539.61
65536,256,5,8,0.091067,0.043077,0.094,0.020,0.042,663.46
65536,256,5,8,0.093219,0.015506,0.065,0.020,0.046,546.78
65536,256,5,8,0.086214,0.019286,0.018,0.019,0.089,549.98
65536,256,5,8,0.089560,0.025160,0.081,0.019,0.036,607.34
65536,256,5,8,0.093181,0.018860,0.025,0.021,0.088,550.00
65536,256,5,8,0.094949,0.045278,0.106,0.022,0.035,630.93
65536,256,5,8,0.095072,0.049870,0.090,0.021,0.056,710.70
65536,256,5,8,0.101651,0.041377,0.092,0.023,0.052,632.26
65536,256,5,8,0.084392,0.044368,0.090,0.020,0.040,665.34
65536,256,5,8,0.090303,0.017314,0.077,0.019,0.033,567.28
65536,256,5,8,0.090168,0.019292,0.022,0.019,0.088,568.51
65536,256,5,8,0.086958,0.057198,0.122,0.020,0.024,719.09
65536,256,5,8,0.093662,0.035945,0.013,0.020,0.118,656.75
65536,256,5,8,0.086076,0.047359,0.101,0.019,0.034,691.54
65536,256,5,8,0.086774,0.019159,0.074,0.020,0.033,549.50
65536,256,5,8,0.087940,0.008288,0.016,0.019,0.081,522.87
65536,256,5,8,0.083891,0.047535,0.092,0.019,0.041,714.05
65536,256,5,8,0.082939,0.037101,0.091,0.018,0.030,668.73
65536,256,5,8,0.091569,0.006035,0.044,0.020,0.055,499.07
65536,256,5,8,0.084826,0.054760,0.102,0.019,0.038,723.92
65536,256,5,8,0.083499,0.030892,0.080,0.019,0.036,617.74
