NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
65536,256,5,1,0.001620,0.015660,0.019,0.018,0.000,100.50
65536,256,5,1,0.001956,0.016274,0.020,0.019,0.000,100.91
65536,256,5,1,0.001832,0.016324,0.019,0.019,0.000,100.47
65536,256,5,1,0.001963,0.016532,0.020,0.020,0.000,100.48
65536,256,5,1,0.001821,0.016539,0.010,0.020,0.010,100.48
65536,256,5,1,0.001828,0.017182,0.020,0.020,0.000,100.46
65536,256,5,1,0.001816,0.015862,0.019,0.019,0.000,100.61
65536,256,5,1,0.001504,0.016046,0.019,0.019,0.000,100.53
65536,256,5,1,0.002099,0.016164,0.020,0.019,0.000,100.46
65536,256,5,1,0.001778,0.015146,0.009,0.018,0.009,100.62
65536,256,5,1,0.001721,0.016312,0.020,0.020,0.000,100.62
65536,256,5,1,0.001502,0.015799,0.019,0.019,0.000,100.87
65536,256,5,1,0.001922,0.016016,0.019,0.019,0.000,100.51
65536,256,5,1,0.001756,0.015869,0.019,0.019,0.000,100.48
65536,256,5,1,0.001836,0.016598,0.020,0.020,0.000,100.48
65536,256,5,1,0.001860,0.016800,0.020,0.020,0.000,100.60
65536,256,5,1,0.001744,0.015073,0.018,0.018,0.000,100.81
65536,256,5,1,0.002064,0.014458,0.018,0.018,0.000,100.61
65536,256,5,1,0.001771,0.015452,0.019,0.018,0.000,100.47
65536,256,5,1,0.001490,0.016489,0.010,0.019,0.010,100.40
65536,256,5,1,0.001846,0.016613,0.020,0.020,0.000,100.46
65536,256,5,1,0.002874,0.017862,0.022,0.022,0.000,100.38
65536,256,5,1,0.001824,0.016589,0.020,0.020,0.000,100.44
65536,256,5,1,0.001830,0.016412,0.020,0.019,0.000,100.47
65536,256,5,1,0.001821,0.016333,0.019,0.019,0.000,100.03
