NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
65536,256,5,8,0.094447,0.010579,0.071,0.020,0.035,538.53
65536,256,5,8,0.097970,0.040432,0.105,0.021,0.035,652.39
65536,256,5,8,0.102658,0.021426,0.057,0.023,0.068,558.72
65536,256,5,8,0.105771,0.028328,0.090,0.023,0.045,595.27
65536,256,5,8,0.095438,0.052824,0.112,0.021,0.038,716.09
65536,256,5,8,0.090244,0.031647,0.092,0.020,0.031,615.39
65536,256,5,8,0.082614,0.034732,0.024,0.019,0.095,625.10
65536,256,5,8,0.082737,0.043636,0.085,0.018,0.042,694.22
65536,256,5,8,0.087636,0.030340,0.083,0.020,0.037,603.37
65536,256,5,8,0.090272,0.007673,0.029,0.019,0.071,516.59
65536,256,5,8,0.082612,0.045511,0.110,0.019,0.020,679.55
65536,256,5,8,0.087449,0.030112,0.082,0.021,0.036,576.79
65536,256,5,8,0.082126,0.020555,0.000,0.019,0.104,544.69
65536,256,5,8,0.091138,0.027514,0.102,0.020,0.018,609.41
65536,256,5,8,0.086846,0.042073,0.100,0.019,0.030,684.57
65536,256,5,8,0.088051,0.054103,0.099,0.020,0.044,711.09
65536,256,5,8,0.087634,0.025055,0.086,0.019,0.028,612.62
65536,256,5,8,0.088953,0.006159,0.067,0.019,0.030,508.97
65536,256,5,8,0.080555,0.005405,0.044,0.018,0.043,488.99
65536,256,5,8,0.091791,0.046287,0.116,0.021,0.023,654.21
65536,256,5,8,0.087611,0.017866,0.078,0.019,0.029,566.11
65536,256,5,8,0.082603,0.032169,0.047,0.019,0.069,623.04
65536,256,5,8,0.086914,0.047588,0.102,0.019,0.034,699.94
65536,256,5,8,0.082039,0.029164,0.087,0.019,0.026,598.67
65536,256,5,8,0.090477,0.050450,0.061,0.020,0.081,719.53
