row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
10000,10000,2,0.369531,0.169121,0.339,0.301,0.251,196.07
10000,10000,2,0.381264,0.168414,0.321,0.305,0.277,196.28
10000,10000,2,0.364840,0.165479,0.331,0.295,0.247,195.95
10000,10000,2,0.374251,0.173099,0.349,0.305,0.248,195.95
10000,10000,2,0.379100,0.168123,0.299,0.304,0.299,196.27
10000,10000,2,0.367429,0.161534,0.249,0.295,0.329,196.15
10000,10000,2,0.377793,0.169097,0.311,0.305,0.287,196.16
10000,10000,2,0.378050,0.173048,0.354,0.305,0.246,196.26
10000,10000,2,0.365161,0.161518,0.311,0.295,0.267,195.96
10000,10000,2,0.374761,0.169097,0.341,0.304,0.256,196.15
10000,10000,2,0.380287,0.168225,0.349,0.305,0.249,196.27
10000,10000,2,0.364636,0.165550,0.308,0.296,0.272,195.96
10000,10000,2,0.377896,0.169102,0.315,0.305,0.283,196.16
10000,10000,2,0.378715,0.173109,0.316,0.306,0.284,196.07
10000,10000,2,0.364708,0.165552,0.319,0.295,0.259,196.16
10000,10000,2,0.374818,0.169092,0.340,0.304,0.256,196.16
10000,10000,2,0.379958,0.167625,0.320,0.304,0.276,196.07
10000,10000,2,0.364245,0.161474,0.344,0.294,0.232,196.14
10000,10000,2,0.375747,0.169095,0.320,0.304,0.276,196.16
10000,10000,2,0.377798,0.168215,0.343,0.305,0.255,196.04
10000,10000,2,0.365716,0.161561,0.325,0.295,0.253,195.94
10000,10000,2,0.375539,0.169105,0.372,0.304,0.224,196.14
10000,10000,2,0.378107,0.172561,0.301,0.305,0.297,196.29
10000,10000,2,0.365657,0.161482,0.329,0.294,0.248,196.13
10000,10000,2,0.376294,0.169103,0.337,0.305,0.260,195.95
10000,10000,2,0.381852,0.163460,0.312,0.304,0.284,196.24
10000,10000,2,0.366473,0.161896,0.330,0.295,0.249,196.15
10000,10000,2,0.375623,0.169167,0.333,0.304,0.264,196.12
10000,10000,2,0.381382,0.162653,0.296,0.303,0.300,196.26
10000,10000,2,0.366421,0.161848,0.334,0.295,0.245,196.16
10000,10000,2,0.376160,0.169123,0.337,0.305,0.261,196.15
10000,10000,2,0.380241,0.168162,0.317,0.304,0.280,196.26
10000,10000,2,0.365200,0.165855,0.324,0.295,0.255,196.17
10000,10000,2,0.373871,0.169216,0.324,0.304,0.272,196.12
10000,10000,2,0.380177,0.167414,0.296,0.303,0.300,196.26
