A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1500,1500,1500,8,0.084,1.330,1.414
1500,1500,1500,8,0.098,1.361,1.459
1500,1500,1500,8,0.098,1.358,1.456
1500,1500,1500,8,0.098,1.366,1.465
1500,1500,1500,8,0.093,1.370,1.463
1500,1500,1500,8,0.099,1.363,1.461
1500,1500,1500,8,0.102,1.363,1.465
1500,1500,1500,8,0.098,1.352,1.450
1500,1500,1500,8,0.098,1.361,1.460
1500,1500,1500,8,0.098,1.359,1.457
1500,1500,1500,8,0.099,1.353,1.452
1500,1500,1500,8,0.093,1.355,1.448
1500,1500,1500,8,0.098,1.357,1.455
1500,1500,1500,8,0.100,1.360,1.459
1500,1500,1500,8,0.098,1.352,1.450
