A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1500,1500,1500,16,0.381,1.498,0.886,2.765
1500,1500,1500,16,0.305,1.531,0.746,2.582
1500,1500,1500,16,0.328,1.465,0.673,2.466
1500,1500,1500,16,0.296,1.464,0.588,2.348
1500,1500,1500,16,0.296,1.519,0.551,2.366
1500,1500,1500,16,0.305,1.481,0.746,2.532
1500,1500,1500,16,0.277,1.469,0.752,2.498
1500,1500,1500,16,0.313,1.490,0.877,2.680
1500,1500,1500,16,0.298,1.533,0.765,2.596
1500,1500,1500,16,0.273,1.474,0.630,2.377
1500,1500,1500,16,0.270,1.497,0.620,2.387
1500,1500,1500,16,0.273,1.470,0.669,2.412
1500,1500,1500,16,0.273,1.473,0.579,2.325
1500,1500,1500,16,0.329,1.493,0.704,2.526
1500,1500,1500,16,0.347,1.471,0.919,2.738
