A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,8,0.008,0.346,0.013,0.367
1000,1000,1000,8,0.008,0.367,0.015,0.390
1000,1000,1000,8,0.009,0.378,0.016,0.403
1000,1000,1000,8,0.009,0.378,0.016,0.402
1000,1000,1000,8,0.009,0.377,0.016,0.401
1000,1000,1000,8,0.009,0.377,0.015,0.400
1000,1000,1000,8,0.009,0.378,0.015,0.402
1000,1000,1000,8,0.009,0.377,0.012,0.398
1000,1000,1000,8,0.008,0.373,0.015,0.396
1000,1000,1000,8,0.009,0.377,0.013,0.398
1000,1000,1000,8,0.009,0.376,0.015,0.400
1000,1000,1000,8,0.009,0.378,0.016,0.402
1000,1000,1000,8,0.008,0.373,0.013,0.393
1000,1000,1000,8,0.009,0.379,0.017,0.404
1000,1000,1000,8,0.009,0.377,0.012,0.398
