A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1000,1000,1000,16,0.072,0.692,0.764
1000,1000,1000,16,0.075,0.984,1.060
1000,1000,1000,16,0.060,0.990,1.050
1000,1000,1000,16,0.071,0.851,0.922
1000,1000,1000,16,0.081,0.766,0.848
1000,1000,1000,16,0.096,1.028,1.124
1000,1000,1000,16,0.088,0.940,1.028
1000,1000,1000,16,0.076,0.966,1.042
1000,1000,1000,16,0.102,0.972,1.074
1000,1000,1000,16,0.077,0.873,0.950
1000,1000,1000,16,0.079,0.908,0.988
1000,1000,1000,16,0.076,0.787,0.863
1000,1000,1000,16,0.078,0.747,0.825
1000,1000,1000,16,0.076,1.000,1.076
1000,1000,1000,16,0.128,0.779,0.908
