A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,2,0.004,0.687,0.005,0.696
1000,1000,1000,2,0.005,0.836,0.007,0.848
1000,1000,1000,2,0.006,0.865,0.005,0.876
1000,1000,1000,2,0.006,0.865,0.005,0.876
1000,1000,1000,2,0.006,0.863,0.005,0.874
1000,1000,1000,2,0.006,0.853,0.008,0.867
1000,1000,1000,2,0.006,0.863,0.006,0.875
1000,1000,1000,2,0.006,0.862,0.006,0.873
1000,1000,1000,2,0.006,0.853,0.006,0.865
1000,1000,1000,2,0.006,0.853,0.006,0.865
1000,1000,1000,2,0.006,0.861,0.006,0.873
1000,1000,1000,2,0.006,0.853,0.006,0.864
1000,1000,1000,2,0.006,0.853,0.006,0.865
1000,1000,1000,2,0.006,0.853,0.006,0.864
1000,1000,1000,2,0.006,0.853,0.006,0.865
