A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,1,0.025,2.842,0.008,2.875
1250,1250,1250,1,0.010,2.654,0.008,2.672
1250,1250,1250,1,0.009,2.664,0.008,2.682
1250,1250,1250,1,0.009,2.676,0.008,2.693
1250,1250,1250,1,0.009,2.674,0.008,2.691
1250,1250,1250,1,0.009,2.678,0.008,2.695
1250,1250,1250,1,0.009,2.685,0.008,2.702
1250,1250,1250,1,0.009,2.678,0.010,2.698
1250,1250,1250,1,0.009,2.684,0.008,2.702
1250,1250,1250,1,0.009,2.688,0.008,2.705
1250,1250,1250,1,0.009,2.688,0.008,2.705
1250,1250,1250,1,0.009,2.683,0.011,2.703
1250,1250,1250,1,0.009,2.684,0.008,2.701
1250,1250,1250,1,0.009,2.689,0.008,2.706
1250,1250,1250,1,0.009,2.687,0.008,2.704
