A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,8,0.012,0.750,0.065,0.828
1250,1250,1250,8,0.015,0.785,0.054,0.854
1250,1250,1250,8,0.016,0.784,0.046,0.846
1250,1250,1250,8,0.017,0.794,0.064,0.875
1250,1250,1250,8,0.016,0.779,0.049,0.844
1250,1250,1250,8,0.014,0.798,0.067,0.879
1250,1250,1250,8,0.016,0.784,0.054,0.854
1250,1250,1250,8,0.014,0.778,0.046,0.838
1250,1250,1250,8,0.015,0.787,0.065,0.866
1250,1250,1250,8,0.014,0.788,0.061,0.863
1250,1250,1250,8,0.018,0.793,0.065,0.876
1250,1250,1250,8,0.014,0.789,0.064,0.867
1250,1250,1250,8,0.014,0.786,0.063,0.863
1250,1250,1250,8,0.014,0.785,0.060,0.859
1250,1250,1250,8,0.015,0.791,0.063,0.869
