A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,1,0.007,1.363,0.005,1.375
1000,1000,1000,1,0.007,1.337,0.005,1.349
1000,1000,1000,1,0.007,1.334,0.005,1.346
1000,1000,1000,1,0.007,1.334,0.005,1.346
1000,1000,1000,1,0.007,1.337,0.005,1.349
1000,1000,1000,1,0.006,1.337,0.005,1.349
1000,1000,1000,1,0.007,1.344,0.005,1.355
1000,1000,1000,1,0.006,1.333,0.008,1.347
1000,1000,1000,1,0.007,1.339,0.005,1.351
1000,1000,1000,1,0.006,1.345,0.005,1.356
1000,1000,1000,1,0.006,1.340,0.005,1.352
1000,1000,1000,1,0.006,1.343,0.005,1.354
1000,1000,1000,1,0.006,1.337,0.005,1.349
1000,1000,1000,1,0.006,1.336,0.005,1.347
1000,1000,1000,1,0.006,1.341,0.005,1.352
