| Version  | Processes |      ReadFromFile     |      MatrixDot      | WriteToFile |       Elapsed       |       Speedup       |       Efficiency      |
|  Serial  |     1     |         0.002         | 0.05200000000000002 |      0      | 0.05400000000000002 |         1.0         |          1.0          |
| Parallel |     1     | 0.0010000000000000005 |  0.4524666666666667 |      0      | 0.45339999999999997 | 0.11910013233348042 |  0.11910013233348042  |
| Parallel |     2     | 0.0010000000000000005 |        0.2824       |      0      | 0.28300000000000003 |  0.1908127208480566 |   0.0954063604240283  |
| Parallel |     4     | 0.0010000000000000005 | 0.27740000000000004 |      0      |  0.2781333333333333 | 0.19415148609779492 |  0.04853787152444873  |
| Parallel |     8     | 0.0010000000000000005 |        0.3434       |      0      |  0.3442666666666667 | 0.15685515104570105 |  0.01960689388071263  |
| Parallel |     16    |         0.1528        |  0.4498666666666667 |      0      |  0.6029333333333333 | 0.08956214064573201 | 0.0055976337903582505 |
