A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
500,500,500,8,0.001,0.329,0.330
500,500,500,8,0.001,0.330,0.330
500,500,500,8,0.001,0.324,0.325
500,500,500,8,0.001,0.330,0.331
500,500,500,8,0.001,0.339,0.340
500,500,500,8,0.001,0.329,0.329
500,500,500,8,0.001,0.325,0.326
500,500,500,8,0.001,0.335,0.336
500,500,500,8,0.001,0.331,0.332
500,500,500,8,0.001,0.332,0.333
500,500,500,8,0.001,0.323,0.324
500,500,500,8,0.001,0.332,0.333
500,500,500,8,0.001,0.334,0.336
500,500,500,8,0.001,0.323,0.324
500,500,500,8,0.001,0.336,0.337
