A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1500,1500,1500,4,0.012,1.865,1.877
1500,1500,1500,4,0.016,1.956,1.972
1500,1500,1500,4,0.016,1.956,1.972
1500,1500,1500,4,0.016,1.940,1.956
1500,1500,1500,4,0.015,1.953,1.968
1500,1500,1500,4,0.027,1.925,1.951
1500,1500,1500,4,0.016,1.965,1.981
1500,1500,1500,4,0.016,1.960,1.976
1500,1500,1500,4,0.016,1.966,1.982
1500,1500,1500,4,0.016,1.931,1.947
1500,1500,1500,4,0.014,1.936,1.950
1500,1500,1500,4,0.016,1.936,1.952
1500,1500,1500,4,0.014,1.942,1.956
1500,1500,1500,4,0.014,1.927,1.941
1500,1500,1500,4,0.016,1.934,1.950
1500,1500,1500,4,0.030,1.922,1.952
1500,1500,1500,4,0.016,1.931,1.947
1500,1500,1500,4,0.014,1.925,1.939
1500,1500,1500,4,0.014,1.947,1.961
1500,1500,1500,4,0.014,1.926,1.940
1500,1500,1500,4,0.014,1.958,1.972
1500,1500,1500,4,0.014,1.965,1.979
1500,1500,1500,4,0.016,1.961,1.977
1500,1500,1500,4,0.016,1.968,1.984
1500,1500,1500,4,0.014,1.966,1.981
1500,1500,1500,4,0.016,1.963,1.979
1500,1500,1500,4,0.016,1.965,1.981
1500,1500,1500,4,0.014,1.970,1.984
1500,1500,1500,4,0.014,1.962,1.976
1500,1500,1500,4,0.014,1.969,1.983
1500,1500,1500,4,0.030,1.954,1.984
1500,1500,1500,4,0.027,1.940,1.966
1500,1500,1500,4,0.016,1.940,1.956
1500,1500,1500,4,0.016,1.930,1.946
1500,1500,1500,4,0.016,1.945,1.960
1500,1500,1500,4,0.014,1.927,1.941
1500,1500,1500,4,0.016,1.932,1.948
1500,1500,1500,4,0.014,1.943,1.957
1500,1500,1500,4,0.028,1.919,1.947
1500,1500,1500,4,0.016,1.927,1.943
1500,1500,1500,4,0.016,1.938,1.954
1500,1500,1500,4,0.016,1.925,1.941
1500,1500,1500,4,0.016,1.935,1.951
1500,1500,1500,4,0.016,1.925,1.941
1500,1500,1500,4,0.016,1.944,1.960
1500,1500,1500,4,0.014,1.952,1.966
1500,1500,1500,4,0.016,1.959,1.976
1500,1500,1500,4,0.014,1.972,1.986
1500,1500,1500,4,0.014,1.968,1.982
1500,1500,1500,4,0.014,1.969,1.983
1500,1500,1500,4,0.014,1.963,1.977
1500,1500,1500,4,0.014,1.971,1.985
1500,1500,1500,4,0.014,1.968,1.982
1500,1500,1500,4,0.014,1.973,1.987
1500,1500,1500,4,0.014,1.966,1.981
1500,1500,1500,4,0.016,1.965,1.981
1500,1500,1500,4,0.029,2.004,2.033
1500,1500,1500,4,0.015,1.955,1.970
1500,1500,1500,4,0.016,1.925,1.941
1500,1500,1500,4,0.014,1.946,1.960
1500,1500,1500,4,0.014,1.929,1.943
1500,1500,1500,4,0.016,1.935,1.951
1500,1500,1500,4,0.016,1.930,1.946
1500,1500,1500,4,0.016,1.929,1.945
1500,1500,1500,4,0.016,1.934,1.950
1500,1500,1500,4,0.014,1.935,1.949
1500,1500,1500,4,0.016,1.927,1.943
1500,1500,1500,4,0.016,1.932,1.948
1500,1500,1500,4,0.016,1.937,1.953
1500,1500,1500,4,0.016,1.929,1.945
1500,1500,1500,4,0.014,1.946,1.960
1500,1500,1500,4,0.016,1.928,1.944
1500,1500,1500,4,0.014,1.945,1.959
1500,1500,1500,4,0.025,1.918,1.943
1500,1500,1500,4,0.016,1.928,1.944
1500,1500,1500,4,0.017,1.936,1.952
1500,1500,1500,4,0.016,1.929,1.945
1500,1500,1500,4,0.017,1.937,1.954
1500,1500,1500,4,0.014,1.935,1.949
1500,1500,1500,4,0.016,1.929,1.945
1500,1500,1500,4,0.014,1.945,1.959
1500,1500,1500,4,0.014,1.931,1.945
1500,1500,1500,4,0.016,1.932,1.948
1500,1500,1500,4,0.016,1.929,1.945
1500,1500,1500,4,0.028,1.922,1.950
1500,1500,1500,4,0.016,1.926,1.942
1500,1500,1500,4,0.016,1.932,1.948
1500,1500,1500,4,0.014,1.945,1.960
1500,1500,1500,4,0.014,1.924,1.938
1500,1500,1500,4,0.014,1.948,1.962
1500,1500,1500,4,0.014,1.936,1.950
1500,1500,1500,4,0.016,1.934,1.951
1500,1500,1500,4,0.016,1.928,1.944
1500,1500,1500,4,0.016,1.934,1.950
1500,1500,1500,4,0.016,1.938,1.954
1500,1500,1500,4,0.014,1.935,1.949
1500,1500,1500,4,0.014,1.935,1.949
1500,1500,1500,4,0.014,1.937,1.951
1500,1500,1500,4,0.014,1.936,1.950
1500,1500,1500,4,0.016,1.926,1.942
