NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
524288,1024,16,2,0.003993,0.051728,0.051728,0.118,0.075,0.021,184.73
524288,1024,16,2,0.019441,0.065209,0.065209,0.189,0.421,0.070,61.40
524288,1024,16,2,0.003887,0.051512,0.051512,0.104,0.074,0.038,191.70
524288,1024,16,2,0.018748,0.057734,0.057734,0.167,0.409,0.071,58.30
524288,1024,16,2,0.022649,0.080644,0.080644,0.220,0.459,0.073,63.77
524288,1024,16,2,0.017392,0.057578,0.057578,0.155,0.407,0.076,56.55
524288,1024,16,2,0.018635,0.058858,0.058858,0.160,0.431,0.078,55.16
524288,1024,16,2,0.018645,0.059262,0.059262,0.175,0.430,0.064,55.39
524288,1024,16,2,0.018810,0.058573,0.058573,0.164,0.436,0.075,54.69
524288,1024,16,2,0.018490,0.058625,0.058625,0.182,0.430,0.051,54.29
