A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1500,1500,1500,16,0.121,1.457,0.681,2.258
1500,1500,1500,16,0.161,1.451,0.814,2.426
1500,1500,1500,16,0.121,1.467,0.596,2.185
1500,1500,1500,16,0.105,1.473,0.484,2.062
1500,1500,1500,16,0.159,1.471,0.766,2.397
1500,1500,1500,16,0.108,1.474,0.610,2.193
1500,1500,1500,16,0.128,1.478,0.564,2.169
1500,1500,1500,16,0.171,1.444,0.526,2.141
1500,1500,1500,16,0.135,1.544,0.651,2.330
1500,1500,1500,16,0.134,1.460,0.594,2.189
1500,1500,1500,16,0.123,1.460,0.567,2.150
1500,1500,1500,16,0.155,1.521,0.734,2.411
1500,1500,1500,16,0.103,1.477,0.633,2.213
1500,1500,1500,16,0.139,1.477,0.657,2.273
1500,1500,1500,16,0.119,1.466,0.646,2.231
