A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1500,1500,1500,4,0.014,1.839,0.018,1.871
1500,1500,1500,4,0.014,1.948,0.018,1.979
1500,1500,1500,4,0.017,1.927,0.017,1.962
1500,1500,1500,4,0.014,1.949,0.015,1.979
1500,1500,1500,4,0.017,1.924,0.020,1.962
1500,1500,1500,4,0.014,1.929,0.031,1.974
1500,1500,1500,4,0.014,1.922,0.018,1.954
1500,1500,1500,4,0.014,1.926,0.017,1.957
1500,1500,1500,4,0.014,1.936,0.017,1.967
1500,1500,1500,4,0.014,1.939,0.017,1.970
1500,1500,1500,4,0.017,1.922,0.023,1.962
1500,1500,1500,4,0.017,1.923,0.024,1.964
1500,1500,1500,4,0.014,1.933,0.015,1.962
1500,1500,1500,4,0.014,1.919,0.016,1.949
1500,1500,1500,4,0.018,1.912,0.018,1.947
