A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1500,1500,1500,2,0.012,2.861,2.873
1500,1500,1500,2,0.013,2.945,2.958
1500,1500,1500,2,0.013,2.919,2.931
1500,1500,1500,2,0.013,2.923,2.935
1500,1500,1500,2,0.013,2.921,2.934
1500,1500,1500,2,0.013,2.911,2.924
1500,1500,1500,2,0.013,2.923,2.936
1500,1500,1500,2,0.013,2.921,2.934
1500,1500,1500,2,0.016,2.901,2.917
1500,1500,1500,2,0.013,2.907,2.920
1500,1500,1500,2,0.020,2.897,2.917
1500,1500,1500,2,0.013,2.918,2.931
1500,1500,1500,2,0.013,2.909,2.922
1500,1500,1500,2,0.013,2.910,2.923
1500,1500,1500,2,0.017,2.889,2.907
