NPoints,K,NClusters,processes,generate, classify, user, elapsed, sys, pCPU
16384,128,5,16,0.052328,0.033422,0.000,0.018,0.087,480.56
16384,128,5,16,0.048059,0.032943,0.041,0.018,0.041,455.90
16384,128,5,16,0.050313,0.030905,0.011,0.018,0.072,461.69
16384,128,5,16,0.052171,0.027925,0.021,0.018,0.061,459.77
16384,128,5,16,0.049916,0.029843,0.041,0.018,0.040,458.73
16384,128,5,16,0.048343,0.025233,0.000,0.016,0.075,464.34
16384,128,5,16,0.047750,0.025031,0.000,0.016,0.074,463.97
16384,128,5,16,0.049743,0.026790,0.039,0.016,0.039,477.28
16384,128,5,16,0.045990,0.025550,0.000,0.016,0.073,452.52
16384,128,5,16,0.049195,0.025056,0.000,0.016,0.076,479.48
16384,128,5,16,0.047938,0.035000,0.000,0.020,0.085,424.80
16384,128,5,16,0.051028,0.032867,0.026,0.019,0.059,459.56
16384,128,5,16,0.045272,0.033073,0.000,0.019,0.080,430.31
16384,128,5,16,0.038076,0.031937,0.000,0.017,0.072,430.73
16384,128,5,16,0.046445,0.032392,0.027,0.019,0.053,434.28
16384,128,5,16,0.049409,0.035927,0.022,0.019,0.065,464.89
16384,128,5,16,0.045369,0.027636,0.074,0.017,0.000,442.64
16384,128,5,16,0.045615,0.035958,0.028,0.020,0.055,423.82
16384,128,5,16,0.040753,0.037188,0.025,0.020,0.055,408.59
16384,128,5,16,0.039840,0.032078,0.000,0.019,0.073,385.33
16384,128,5,16,0.048046,0.032764,0.041,0.018,0.041,447.51
16384,128,5,16,0.039062,0.032823,0.025,0.018,0.049,414.33
16384,128,5,16,0.040053,0.026730,0.035,0.017,0.035,416.56
16384,128,5,16,0.053195,0.030873,0.086,0.018,0.000,468.61
16384,128,5,16,0.043228,0.030617,0.038,0.017,0.038,439.01
