NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
16384,128,5,0,0.000109,0.002949,0.003058,0.004,0.004,0.000,101.55
16384,128,5,0,0.000109,0.002938,0.003047,0.000,0.004,0.004,101.91
16384,128,5,0,0.000106,0.003086,0.003192,0.004,0.004,0.000,101.64
16384,128,5,0,0.000111,0.003122,0.003233,0.004,0.004,0.000,98.20
16384,128,5,0,0.000128,0.003534,0.003662,0.005,0.005,0.000,101.44
16384,128,5,0,0.000117,0.002935,0.003052,0.004,0.004,0.000,98.58
16384,128,5,0,0.000110,0.002884,0.002994,0.000,0.004,0.004,101.55
16384,128,5,0,0.000120,0.002921,0.003041,0.004,0.004,0.000,101.74
16384,128,5,0,0.000107,0.003087,0.003194,0.004,0.004,0.000,101.10
16384,128,5,0,0.000194,0.003934,0.004128,0.005,0.006,0.000,98.28
16384,128,5,0,0.000111,0.003029,0.003140,0.004,0.004,0.000,98.13
16384,128,5,0,0.000107,0.002906,0.003013,0.004,0.004,0.000,101.46
16384,128,5,0,0.000105,0.002893,0.002998,0.004,0.004,0.000,101.67
16384,128,5,0,0.000109,0.003040,0.003149,0.004,0.004,0.000,98.34
16384,128,5,0,0.000131,0.003385,0.003516,0.004,0.005,0.000,91.91
16384,128,5,0,0.000110,0.002967,0.003077,0.004,0.004,0.000,99.68
16384,128,5,0,0.000198,0.005678,0.005876,0.008,0.008,0.000,100.03
16384,128,5,0,0.000110,0.002892,0.003002,0.004,0.004,0.000,101.38
16384,128,5,0,0.000109,0.003060,0.003169,0.000,0.004,0.004,101.91
16384,128,5,0,0.000107,0.002958,0.003065,0.004,0.004,0.000,101.74
16384,128,5,0,0.000107,0.002969,0.003076,0.004,0.004,0.000,101.63
16384,128,5,0,0.000106,0.002874,0.002980,0.004,0.004,0.000,101.64
16384,128,5,0,0.000110,0.002977,0.003087,0.004,0.004,0.000,101.93
16384,128,5,0,0.000107,0.003415,0.003522,0.005,0.005,0.000,101.43
16384,128,5,0,0.000106,0.002967,0.003073,0.004,0.004,0.000,101.53
