NPoints,K,NClusters,processes,generate,classify,user,elapsed,sys,pCPU
16384,128,5,1,0.000453,0.003458,0.005,0.005,0.000,101.87
16384,128,5,1,0.000453,0.003521,0.005,0.005,0.000,102.10
16384,128,5,1,0.000451,0.003440,0.005,0.005,0.000,101.80
16384,128,5,1,0.000453,0.003437,0.005,0.005,0.000,101.84
16384,128,5,1,0.000495,0.003353,0.000,0.005,0.005,101.14
16384,128,5,1,0.000469,0.003463,0.005,0.005,0.000,101.88
16384,128,5,1,0.000466,0.003490,0.005,0.005,0.000,101.86
16384,128,5,1,0.000451,0.003456,0.005,0.005,0.000,102.18
16384,128,5,1,0.000476,0.004027,0.006,0.006,0.000,101.64
16384,128,5,1,0.000452,0.003433,0.005,0.005,0.000,101.96
16384,128,5,1,0.000466,0.003398,0.005,0.005,0.000,101.82
16384,128,5,1,0.000452,0.003980,0.005,0.005,0.000,101.67
16384,128,5,1,0.000474,0.003379,0.005,0.005,0.000,102.07
16384,128,5,1,0.000453,0.003655,0.005,0.005,0.000,101.77
16384,128,5,1,0.000461,0.003403,0.005,0.005,0.000,101.84
16384,128,5,1,0.000456,0.003463,0.000,0.005,0.005,101.91
16384,128,5,1,0.000470,0.003101,0.005,0.005,0.000,101.96
16384,128,5,1,0.000647,0.003323,0.005,0.005,0.000,103.14
16384,128,5,1,0.000437,0.003293,0.005,0.005,0.000,102.32
16384,128,5,1,0.000400,0.003773,0.005,0.005,0.000,101.56
16384,128,5,1,0.000496,0.003527,0.005,0.005,0.000,101.88
16384,128,5,1,0.000599,0.003523,0.000,0.005,0.005,101.30
16384,128,5,1,0.000470,0.003573,0.005,0.005,0.000,102.54
16384,128,5,1,0.000488,0.003896,0.005,0.005,0.000,101.78
16384,128,5,1,0.000375,0.003320,0.005,0.005,0.000,103.40
