A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
250,250,250,2,0.000,0.011,0.011
250,250,250,2,0.000,0.011,0.011
250,250,250,2,0.000,0.011,0.011
250,250,250,2,0.000,0.011,0.011
250,250,250,2,0.000,0.011,0.011
250,250,250,2,0.000,0.011,0.012
250,250,250,2,0.000,0.011,0.012
250,250,250,2,0.000,0.011,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.012
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.013,0.013
250,250,250,2,0.000,0.012,0.013
250,250,250,2,0.000,0.012,0.013
