A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,8,0.008,0.346,0.013,0.366
1000,1000,1000,8,0.008,0.369,0.017,0.394
1000,1000,1000,8,0.009,0.378,0.015,0.401
1000,1000,1000,8,0.009,0.377,0.013,0.399
1000,1000,1000,8,0.008,0.372,0.016,0.396
1000,1000,1000,8,0.009,0.377,0.013,0.399
1000,1000,1000,8,0.009,0.381,0.017,0.407
1000,1000,1000,8,0.009,0.379,0.014,0.402
1000,1000,1000,8,0.009,0.380,0.017,0.405
1000,1000,1000,8,0.009,0.376,0.016,0.401
1000,1000,1000,8,0.008,0.372,0.014,0.394
1000,1000,1000,8,0.009,0.380,0.017,0.405
1000,1000,1000,8,0.009,0.377,0.014,0.399
1000,1000,1000,8,0.008,0.370,0.012,0.391
1000,1000,1000,8,0.009,0.377,0.014,0.400
