A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,16,0.132,0.417,0.482,1.031
1000,1000,1000,16,0.096,0.434,0.560,1.090
1000,1000,1000,16,0.121,0.410,0.490,1.020
1000,1000,1000,16,0.152,0.421,0.699,1.272
1000,1000,1000,16,0.152,0.418,0.517,1.087
1000,1000,1000,16,0.136,0.433,0.433,1.002
1000,1000,1000,16,0.088,0.434,0.533,1.055
1000,1000,1000,16,0.156,0.416,0.788,1.360
1000,1000,1000,16,0.120,0.418,0.636,1.174
1000,1000,1000,16,0.164,0.406,0.519,1.089
1000,1000,1000,16,0.136,0.478,0.654,1.268
1000,1000,1000,16,0.120,0.430,0.507,1.057
1000,1000,1000,16,0.104,0.410,0.648,1.161
1000,1000,1000,16,0.132,0.416,0.540,1.088
1000,1000,1000,16,0.120,0.419,0.533,1.071
