A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1000,1000,1000,4,0.006,0.497,0.502
1000,1000,1000,4,0.008,0.554,0.561
1000,1000,1000,4,0.007,0.571,0.578
1000,1000,1000,4,0.008,0.589,0.597
1000,1000,1000,4,0.007,0.590,0.598
1000,1000,1000,4,0.008,0.583,0.590
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.006,0.579,0.586
1000,1000,1000,4,0.007,0.578,0.585
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.007,0.578,0.585
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.006,0.582,0.588
1000,1000,1000,4,0.006,0.578,0.584
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.006,0.576,0.583
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.575,0.582
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.007,0.579,0.586
1000,1000,1000,4,0.006,0.572,0.578
1000,1000,1000,4,0.007,0.575,0.582
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.006,0.576,0.582
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.007,0.569,0.576
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.006,0.574,0.581
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.006,0.573,0.580
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.575,0.582
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.006,0.575,0.581
1000,1000,1000,4,0.006,0.572,0.578
1000,1000,1000,4,0.006,0.577,0.583
1000,1000,1000,4,0.007,0.570,0.577
1000,1000,1000,4,0.007,0.570,0.577
1000,1000,1000,4,0.007,0.575,0.582
1000,1000,1000,4,0.006,0.574,0.580
1000,1000,1000,4,0.007,0.570,0.577
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.006,0.575,0.582
1000,1000,1000,4,0.006,0.571,0.578
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.570,0.578
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.006,0.572,0.579
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.006,0.573,0.579
1000,1000,1000,4,0.006,0.577,0.583
1000,1000,1000,4,0.007,0.569,0.576
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.007,0.566,0.573
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.006,0.577,0.583
1000,1000,1000,4,0.007,0.569,0.576
1000,1000,1000,4,0.006,0.577,0.584
1000,1000,1000,4,0.007,0.568,0.575
1000,1000,1000,4,0.006,0.581,0.588
1000,1000,1000,4,0.007,0.567,0.574
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.006,0.575,0.581
1000,1000,1000,4,0.006,0.575,0.581
1000,1000,1000,4,0.006,0.575,0.581
1000,1000,1000,4,0.007,0.568,0.575
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.007,0.571,0.578
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.006,0.570,0.577
1000,1000,1000,4,0.006,0.574,0.581
1000,1000,1000,4,0.007,0.569,0.576
1000,1000,1000,4,0.006,0.575,0.582
1000,1000,1000,4,0.007,0.569,0.576
1000,1000,1000,4,0.007,0.576,0.583
1000,1000,1000,4,0.007,0.567,0.574
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.006,0.574,0.580
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.006,0.574,0.581
1000,1000,1000,4,0.007,0.572,0.579
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.007,0.570,0.577
1000,1000,1000,4,0.007,0.573,0.580
1000,1000,1000,4,0.006,0.575,0.581
1000,1000,1000,4,0.006,0.573,0.579
1000,1000,1000,4,0.007,0.574,0.581
1000,1000,1000,4,0.006,0.572,0.578
1000,1000,1000,4,0.007,0.571,0.578
