A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,16,0.204,0.409,0.596,1.209
1000,1000,1000,16,0.216,0.419,0.437,1.072
1000,1000,1000,16,0.232,0.418,0.562,1.212
1000,1000,1000,16,0.200,0.445,0.484,1.129
1000,1000,1000,16,0.200,0.419,0.580,1.199
1000,1000,1000,16,0.232,0.428,0.572,1.232
1000,1000,1000,16,0.228,0.421,0.542,1.192
1000,1000,1000,16,0.216,0.419,0.382,1.018
1000,1000,1000,16,0.176,0.438,0.564,1.178
1000,1000,1000,16,0.200,0.425,0.599,1.225
1000,1000,1000,16,0.197,0.419,0.450,1.067
1000,1000,1000,16,0.220,0.442,0.684,1.346
1000,1000,1000,16,0.183,0.418,0.395,0.996
1000,1000,1000,16,0.195,0.431,0.408,1.035
1000,1000,1000,16,0.179,0.418,0.405,1.003
