A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1000,1000,1000,1,0.018,1.552,0.005,1.576
1000,1000,1000,1,0.007,1.312,0.005,1.324
1000,1000,1000,1,0.006,1.310,0.008,1.325
1000,1000,1000,1,0.006,1.318,0.005,1.329
1000,1000,1000,1,0.006,1.320,0.005,1.331
1000,1000,1000,1,0.007,1.324,0.005,1.336
1000,1000,1000,1,0.006,1.326,0.005,1.337
1000,1000,1000,1,0.007,1.329,0.005,1.340
1000,1000,1000,1,0.007,1.329,0.005,1.341
1000,1000,1000,1,0.007,1.333,0.005,1.345
1000,1000,1000,1,0.006,1.322,0.008,1.336
1000,1000,1000,1,0.006,1.331,0.005,1.343
1000,1000,1000,1,0.007,1.324,0.005,1.335
1000,1000,1000,1,0.006,1.333,0.005,1.344
1000,1000,1000,1,0.007,1.334,0.005,1.346
