rows,columns,threads,time
5000,5000,4,0.143464
5000,5000,4,0.192085
5000,5000,4,0.146842
5000,5000,4,0.156608
5000,5000,4,0.152762
5000,5000,4,0.158371
5000,5000,4,0.160372
5000,5000,4,0.162766
5000,5000,4,0.172542
5000,5000,4,0.167949
5000,5000,4,0.162280
5000,5000,4,0.169958
5000,5000,4,0.175719
5000,5000,4,0.175845
5000,5000,4,0.174987
5000,5000,4,0.174801
5000,5000,4,0.174653
5000,5000,4,0.173691
5000,5000,4,0.173586
5000,5000,4,0.172575
5000,5000,4,0.172072
5000,5000,4,0.171816
5000,5000,4,0.183207
5000,5000,4,0.186387
5000,5000,4,0.189835
5000,5000,4,0.180833
5000,5000,4,0.184934
5000,5000,4,0.187959
5000,5000,4,0.179422
5000,5000,4,0.182923
5000,5000,4,0.186192
5000,5000,4,0.189149
5000,5000,4,0.180632
5000,5000,4,0.183437
5000,5000,4,0.186636
5000,5000,4,0.189758
5000,5000,4,0.179103
5000,5000,4,0.178720
5000,5000,4,0.178836
5000,5000,4,0.190972
5000,5000,4,0.181665
5000,5000,4,0.184739
5000,5000,4,0.188656
5000,5000,4,0.191158
5000,5000,4,0.181476
5000,5000,4,0.184613
5000,5000,4,0.188621
5000,5000,4,0.179358
5000,5000,4,0.183639
5000,5000,4,0.187251
5000,5000,4,0.178575
5000,5000,4,0.180212
5000,5000,4,0.180210
5000,5000,4,0.179370
5000,5000,4,0.179020
5000,5000,4,0.187346
5000,5000,4,0.179091
5000,5000,4,0.182771
5000,5000,4,0.185905
5000,5000,4,0.189333
5000,5000,4,0.181590
5000,5000,4,0.184604
5000,5000,4,0.188398
5000,5000,4,0.179875
5000,5000,4,0.182656
5000,5000,4,0.186260
5000,5000,4,0.190215
5000,5000,4,0.181090
5000,5000,4,0.184645
5000,5000,4,0.173977
5000,5000,4,0.173599
5000,5000,4,0.173392
5000,5000,4,0.173767
5000,5000,4,0.182846
5000,5000,4,0.185991
5000,5000,4,0.189126
5000,5000,4,0.180282
5000,5000,4,0.183319
5000,5000,4,0.186822
5000,5000,4,0.179011
5000,5000,4,0.181974
5000,5000,4,0.185878
5000,5000,4,0.189907
5000,5000,4,0.180923
5000,5000,4,0.184748
5000,5000,4,0.172535
5000,5000,4,0.184798
5000,5000,4,0.179889
5000,5000,4,0.180020
5000,5000,4,0.189312
5000,5000,4,0.181029
5000,5000,4,0.184039
5000,5000,4,0.187647
5000,5000,4,0.179507
5000,5000,4,0.182662
5000,5000,4,0.185073
5000,5000,4,0.189075
5000,5000,4,0.180098
5000,5000,4,0.183381
5000,5000,4,0.172770
5000,5000,4,0.172699
5000,5000,4,0.172174
5000,5000,4,0.171993
5000,5000,4,0.182766
5000,5000,4,0.186360
5000,5000,4,0.189405
5000,5000,4,0.180689
5000,5000,4,0.184176
5000,5000,4,0.187665
5000,5000,4,0.190789
5000,5000,4,0.181566
5000,5000,4,0.184999
5000,5000,4,0.188248
5000,5000,4,0.179557
5000,5000,4,0.181187
5000,5000,4,0.181802
5000,5000,4,0.179052
5000,5000,4,0.179654
5000,5000,4,0.190078
5000,5000,4,0.180871
5000,5000,4,0.184688
5000,5000,4,0.188305
5000,5000,4,0.179292
5000,5000,4,0.183679
5000,5000,4,0.187073
5000,5000,4,0.190529
5000,5000,4,0.181482
5000,5000,4,0.182709
5000,5000,4,0.172444
5000,5000,4,0.172654
5000,5000,4,0.172312
5000,5000,4,0.172031
5000,5000,4,0.184219
5000,5000,4,0.187235
5000,5000,4,0.179531
5000,5000,4,0.183356
5000,5000,4,0.186504
5000,5000,4,0.178526
5000,5000,4,0.182319
5000,5000,4,0.185177
5000,5000,4,0.188170
5000,5000,4,0.177269
5000,5000,4,0.177442
5000,5000,4,0.176993
5000,5000,4,0.177150
5000,5000,4,0.188986
5000,5000,4,0.181213
5000,5000,4,0.182532
5000,5000,4,0.186018
5000,5000,4,0.189520
5000,5000,4,0.180905
5000,5000,4,0.184053
5000,5000,4,0.187703
5000,5000,4,0.179330
5000,5000,4,0.181411
5000,5000,4,0.181121
5000,5000,4,0.181163
5000,5000,4,0.179442
5000,5000,4,0.190564
5000,5000,4,0.181399
5000,5000,4,0.184757
5000,5000,4,0.188632
5000,5000,4,0.180673
5000,5000,4,0.184137
5000,5000,4,0.188567
5000,5000,4,0.179316
5000,5000,4,0.184205
5000,5000,4,0.173184
5000,5000,4,0.172261
5000,5000,4,0.172489
5000,5000,4,0.183434
5000,5000,4,0.181305
5000,5000,4,0.184500
5000,5000,4,0.188319
5000,5000,4,0.190916
5000,5000,4,0.181208
5000,5000,4,0.184594
5000,5000,4,0.188818
5000,5000,4,0.177884
5000,5000,4,0.182496
5000,5000,4,0.171875
5000,5000,4,0.171879
5000,5000,4,0.172252
5000,5000,4,0.183770
5000,5000,4,0.181910
5000,5000,4,0.184749
5000,5000,4,0.188470
5000,5000,4,0.180438
5000,5000,4,0.181957
5000,5000,4,0.185839
5000,5000,4,0.189763
5000,5000,4,0.180891
5000,5000,4,0.181645
5000,5000,4,0.180666
5000,5000,4,0.180426
5000,5000,4,0.180146
5000,5000,4,0.189863
5000,5000,4,0.181453
5000,5000,4,0.184691
5000,5000,4,0.188700
5000,5000,4,0.179863
5000,5000,4,0.183448
5000,5000,4,0.186984
5000,5000,4,0.190068
5000,5000,4,0.181287
5000,5000,4,0.169766
5000,5000,4,0.170035
5000,5000,4,0.182461
5000,5000,4,0.180986
5000,5000,4,0.181002
5000,5000,4,0.183902
5000,5000,4,0.188257
5000,5000,4,0.179514
5000,5000,4,0.183158
5000,5000,4,0.186853
5000,5000,4,0.189976
5000,5000,4,0.181382
5000,5000,4,0.170659
5000,5000,4,0.170549
5000,5000,4,0.169981
5000,5000,4,0.181917
5000,5000,4,0.180794
5000,5000,4,0.183904
5000,5000,4,0.188384
5000,5000,4,0.180540
5000,5000,4,0.182742
5000,5000,4,0.186718
5000,5000,4,0.189984
5000,5000,4,0.181805
5000,5000,4,0.170947
5000,5000,4,0.170004
5000,5000,4,0.171723
5000,5000,4,0.181455
5000,5000,4,0.180698
5000,5000,4,0.183866
5000,5000,4,0.187631
5000,5000,4,0.179421
5000,5000,4,0.182188
5000,5000,4,0.185975
5000,5000,4,0.189004
5000,5000,4,0.177788
5000,5000,4,0.177827
5000,5000,4,0.177165
5000,5000,4,0.177235
5000,5000,4,0.187863
5000,5000,4,0.179114
5000,5000,4,0.182584
5000,5000,4,0.186095
5000,5000,4,0.189749
5000,5000,4,0.180094
5000,5000,4,0.184178
5000,5000,4,0.187393
5000,5000,4,0.176754
5000,5000,4,0.177247
5000,5000,4,0.176444
5000,5000,4,0.177255
5000,5000,4,0.189707
5000,5000,4,0.179470
5000,5000,4,0.198639
5000,5000,4,0.186430
5000,5000,4,0.189071
5000,5000,4,0.179980
5000,5000,4,0.183183
5000,5000,4,0.186408
5000,5000,4,0.189286
5000,5000,4,0.178450
5000,5000,4,0.178907
5000,5000,4,0.177911
5000,5000,4,0.177248
5000,5000,4,0.178771
5000,5000,4,0.187167
5000,5000,4,0.190488
5000,5000,4,0.181540
5000,5000,4,0.185289
5000,5000,4,0.187461
5000,5000,4,0.189867
5000,5000,4,0.180965
5000,5000,4,0.184090
5000,5000,4,0.173724
5000,5000,4,0.173432
5000,5000,4,0.173637
5000,5000,4,0.173152
5000,5000,4,0.173048
5000,5000,4,0.181950
5000,5000,4,0.186241
5000,5000,4,0.188910
5000,5000,4,0.181106
5000,5000,4,0.183971
5000,5000,4,0.187521
5000,5000,4,0.178702
5000,5000,4,0.182793
5000,5000,4,0.171575
5000,5000,4,0.171821
5000,5000,4,0.174498
5000,5000,4,0.170021
5000,5000,4,0.182454
5000,5000,4,0.180379
5000,5000,4,0.184042
5000,5000,4,0.187482
5000,5000,4,0.178991
5000,5000,4,0.182202
5000,5000,4,0.185679
5000,5000,4,0.188866
5000,5000,4,0.180078
5000,5000,4,0.169881
5000,5000,4,0.169827
5000,5000,4,0.181909
5000,5000,4,0.180911
5000,5000,4,0.180583
5000,5000,4,0.183921
5000,5000,4,0.186845
5000,5000,4,0.190877
5000,5000,4,0.181836
5000,5000,4,0.185882
5000,5000,4,0.189165
5000,5000,4,0.179433
5000,5000,4,0.179124
5000,5000,4,0.178044
5000,5000,4,0.178598
5000,5000,4,0.189436
5000,5000,4,0.180688
5000,5000,4,0.184017
5000,5000,4,0.187809
5000,5000,4,0.178846
5000,5000,4,0.182187
5000,5000,4,0.185672
5000,5000,4,0.175319
5000,5000,4,0.174528
5000,5000,4,0.173291
5000,5000,4,0.171795
5000,5000,4,0.184978
5000,5000,4,0.188434
5000,5000,4,0.179967
5000,5000,4,0.182503
5000,5000,4,0.186707
5000,5000,4,0.189570
5000,5000,4,0.181062
5000,5000,4,0.181968
5000,5000,4,0.181052
5000,5000,4,0.180351
5000,5000,4,0.180190
5000,5000,4,0.180844
5000,5000,4,0.178784
5000,5000,4,0.182152
5000,5000,4,0.184999
5000,5000,4,0.188458
5000,5000,4,0.179392
5000,5000,4,0.182473
5000,5000,4,0.186310
5000,5000,4,0.238321
5000,5000,4,0.180537
5000,5000,4,0.180125
5000,5000,4,0.179920
5000,5000,4,0.178724
5000,5000,4,0.178683
5000,5000,4,0.177878
5000,5000,4,0.178048
5000,5000,4,0.182445
5000,5000,4,0.185493
5000,5000,4,0.189298
5000,5000,4,0.180071
5000,5000,4,0.184192
5000,5000,4,0.187643
5000,5000,4,0.176015
5000,5000,4,0.176076
5000,5000,4,0.175621
5000,5000,4,0.175050
5000,5000,4,0.186846
5000,5000,4,0.190072
5000,5000,4,0.181247
5000,5000,4,0.184830
5000,5000,4,0.188069
5000,5000,4,0.178846
5000,5000,4,0.182816
5000,5000,4,0.172717
5000,5000,4,0.172026
5000,5000,4,0.171649
5000,5000,4,0.170961
5000,5000,4,0.183015
5000,5000,4,0.181659
5000,5000,4,0.184072
5000,5000,4,0.187529
5000,5000,4,0.179524
5000,5000,4,0.183633
5000,5000,4,0.187103
5000,5000,4,0.179032
5000,5000,4,0.179744
5000,5000,4,0.179369
5000,5000,4,0.179765
5000,5000,4,0.179056
5000,5000,4,0.191010
