A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
500,500,500,16,0.126,0.032,0.452,0.610
500,500,500,16,0.098,0.059,0.395,0.552
500,500,500,16,0.137,0.058,0.440,0.634
500,500,500,16,0.170,0.054,0.389,0.613
500,500,500,16,0.086,0.054,0.433,0.573
500,500,500,16,0.165,0.066,0.637,0.868
500,500,500,16,0.130,0.054,0.517,0.701
500,500,500,16,0.134,0.057,0.344,0.535
500,500,500,16,0.122,0.054,0.380,0.556
500,500,500,16,0.122,0.054,0.364,0.540
500,500,500,16,0.062,0.057,0.532,0.651
500,500,500,16,0.146,0.054,0.545,0.745
500,500,500,16,0.178,0.054,0.448,0.681
500,500,500,16,0.122,0.058,0.533,0.713
500,500,500,16,0.150,0.056,0.477,0.682
