row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
8000,8000,4,0.251899,0.111068,0.264,0.108,0.162,396.17
8000,8000,4,0.234016,0.079341,0.230,0.094,0.141,395.89
8000,8000,4,0.236657,0.109854,0.277,0.103,0.132,395.88
8000,8000,4,0.216304,0.063270,0.231,0.083,0.098,394.03
8000,8000,4,0.200015,0.062175,0.173,0.079,0.141,395.22
8000,8000,4,0.211171,0.049721,0.195,0.080,0.123,395.12
8000,8000,4,0.237818,0.097560,0.289,0.103,0.118,396.16
8000,8000,4,0.238316,0.109846,0.318,0.103,0.090,396.26
8000,8000,4,0.236836,0.049954,0.223,0.087,0.123,395.51
8000,8000,4,0.217202,0.063225,0.207,0.083,0.122,395.36
8000,8000,4,0.233775,0.109951,0.277,0.101,0.124,396.13
8000,8000,4,0.238553,0.109790,0.276,0.101,0.124,396.30
8000,8000,4,0.243568,0.097974,0.271,0.103,0.137,396.18
8000,8000,4,0.210234,0.063228,0.200,0.082,0.123,395.34
8000,8000,4,0.200731,0.062103,0.197,0.080,0.118,395.00
8000,8000,4,0.198149,0.061746,0.199,0.079,0.113,395.07
8000,8000,4,0.210415,0.050051,0.183,0.081,0.135,395.22
8000,8000,4,0.204243,0.061689,0.194,0.079,0.120,395.31
8000,8000,4,0.234518,0.095446,0.265,0.098,0.122,396.02
8000,8000,4,0.236696,0.063156,0.211,0.089,0.139,395.67
8000,8000,4,0.244230,0.097793,0.298,0.103,0.110,396.22
8000,8000,4,0.179532,0.050854,0.164,0.073,0.124,394.82
8000,8000,4,0.204358,0.061750,0.194,0.079,0.120,395.25
8000,8000,4,0.234735,0.110029,0.264,0.103,0.146,396.20
8000,8000,4,0.166520,0.049701,0.150,0.070,0.125,394.67
8000,8000,4,0.203428,0.061699,0.192,0.079,0.122,395.13
8000,8000,4,0.233623,0.063548,0.227,0.090,0.129,395.62
8000,8000,4,0.203274,0.062112,0.202,0.080,0.115,395.03
8000,8000,4,0.198604,0.061711,0.187,0.079,0.125,395.17
8000,8000,4,0.197955,0.061708,0.203,0.079,0.109,395.07
8000,8000,4,0.242937,0.097618,0.264,0.102,0.140,396.32
8000,8000,4,0.214939,0.063094,0.206,0.083,0.123,393.72
8000,8000,4,0.211834,0.050156,0.201,0.081,0.120,395.29
8000,8000,4,0.203456,0.062372,0.191,0.081,0.130,395.15
8000,8000,4,0.224369,0.062590,0.248,0.087,0.097,395.36
8000,8000,4,0.217813,0.050294,0.192,0.083,0.135,395.18
8000,8000,4,0.216659,0.050731,0.209,0.083,0.119,395.20
8000,8000,4,0.200951,0.061678,0.213,0.080,0.102,395.01
8000,8000,4,0.210776,0.050257,0.204,0.081,0.116,395.01
8000,8000,4,0.219684,0.049703,0.206,0.083,0.123,395.46
8000,8000,4,0.202771,0.062299,0.196,0.081,0.124,395.25
8000,8000,4,0.210127,0.062613,0.200,0.083,0.130,395.15
8000,8000,4,0.219026,0.050575,0.193,0.083,0.135,395.19
8000,8000,4,0.217027,0.050632,0.201,0.083,0.127,395.18
8000,8000,4,0.215058,0.050340,0.183,0.082,0.142,395.15
8000,8000,4,0.215765,0.050670,0.180,0.083,0.147,395.24
8000,8000,4,0.215923,0.062353,0.221,0.084,0.110,395.22
8000,8000,4,0.211031,0.061709,0.223,0.082,0.100,393.91
8000,8000,4,0.214118,0.062607,0.206,0.082,0.120,395.38
8000,8000,4,0.200904,0.062370,0.207,0.080,0.111,395.09
8000,8000,4,0.209075,0.062322,0.195,0.083,0.134,395.12
8000,8000,4,0.219184,0.050622,0.218,0.083,0.111,395.22
8000,8000,4,0.216311,0.050598,0.184,0.083,0.145,395.03
8000,8000,4,0.214288,0.050359,0.198,0.083,0.128,395.23
8000,8000,4,0.213745,0.050344,0.225,0.082,0.100,395.19
