A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1250,1250,1250,2,0.007,1.582,1.589
1250,1250,1250,2,0.009,1.658,1.667
1250,1250,1250,2,0.009,1.658,1.667
1250,1250,1250,2,0.009,1.651,1.659
1250,1250,1250,2,0.009,1.660,1.668
1250,1250,1250,2,0.009,1.649,1.657
1250,1250,1250,2,0.009,1.651,1.660
1250,1250,1250,2,0.009,1.653,1.662
1250,1250,1250,2,0.009,1.649,1.657
1250,1250,1250,2,0.009,1.655,1.663
1250,1250,1250,2,0.009,1.648,1.657
1250,1250,1250,2,0.009,1.649,1.658
1250,1250,1250,2,0.009,1.650,1.658
1250,1250,1250,2,0.009,1.653,1.661
1250,1250,1250,2,0.009,1.647,1.656
