A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,1,0.023,2.841,0.008,2.872
1250,1250,1250,1,0.010,2.653,0.008,2.671
1250,1250,1250,1,0.009,2.668,0.008,2.685
1250,1250,1250,1,0.009,2.679,0.011,2.699
1250,1250,1250,1,0.010,2.678,0.008,2.695
1250,1250,1250,1,0.009,2.691,0.008,2.708
1250,1250,1250,1,0.009,2.688,0.008,2.706
1250,1250,1250,1,0.009,2.689,0.010,2.708
1250,1250,1250,1,0.009,2.694,0.008,2.711
1250,1250,1250,1,0.009,2.708,0.008,2.725
1250,1250,1250,1,0.009,2.684,0.010,2.704
1250,1250,1250,1,0.009,2.687,0.008,2.704
1250,1250,1250,1,0.010,2.698,0.008,2.716
1250,1250,1250,1,0.009,2.685,0.008,2.702
1250,1250,1250,1,0.009,2.688,0.010,2.707
