A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,16,0.120,0.799,0.507,1.426
1250,1250,1250,16,0.102,0.787,0.436,1.325
1250,1250,1250,16,0.165,0.793,0.509,1.466
1250,1250,1250,16,0.157,0.791,0.414,1.362
1250,1250,1250,16,0.101,0.806,0.417,1.323
1250,1250,1250,16,0.145,0.794,0.610,1.550
1250,1250,1250,16,0.102,0.782,0.474,1.358
1250,1250,1250,16,0.110,0.827,0.522,1.459
1250,1250,1250,16,0.165,0.796,0.505,1.465
1250,1250,1250,16,0.104,0.787,0.392,1.283
1250,1250,1250,16,0.134,0.804,0.650,1.589
1250,1250,1250,16,0.165,0.803,0.405,1.372
1250,1250,1250,16,0.161,0.808,0.643,1.613
1250,1250,1250,16,0.108,0.800,0.393,1.302
1250,1250,1250,16,0.125,0.799,0.523,1.447
