A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,1,0.012,4.643,0.000,4.655
1250,1250,1250,1,0.006,4.440,0.000,4.445
1250,1250,1250,1,0.005,4.468,0.000,4.473
1250,1250,1250,1,0.005,4.470,0.000,4.475
1250,1250,1250,1,0.005,4.463,0.000,4.468
1250,1250,1250,1,0.005,4.471,0.000,4.476
1250,1250,1250,1,0.005,4.468,0.000,4.473
1250,1250,1250,1,0.005,4.464,0.000,4.470
1250,1250,1250,1,0.005,4.479,0.000,4.484
1250,1250,1250,1,0.005,4.468,0.000,4.473
1250,1250,1250,1,0.005,4.458,0.000,4.463
1250,1250,1250,1,0.005,4.455,0.000,4.460
1250,1250,1250,1,0.005,4.463,0.000,4.469
1250,1250,1250,1,0.005,4.466,0.000,4.472
1250,1250,1250,1,0.005,4.462,0.000,4.467
