A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,4,0.002,2.151,0.000,2.153
1250,1250,1250,4,0.002,2.235,0.000,2.238
1250,1250,1250,4,0.002,2.303,0.000,2.305
1250,1250,1250,4,0.002,2.233,0.000,2.236
1250,1250,1250,4,0.002,2.133,0.000,2.135
1250,1250,1250,4,0.003,2.348,0.000,2.351
1250,1250,1250,4,0.004,2.300,0.000,2.304
1250,1250,1250,4,0.003,2.099,0.000,2.102
1250,1250,1250,4,0.002,2.189,0.000,2.191
1250,1250,1250,4,0.003,2.075,0.000,2.078
1250,1250,1250,4,0.003,2.225,0.000,2.228
1250,1250,1250,4,0.003,2.102,0.000,2.105
1250,1250,1250,4,0.003,2.092,0.000,2.095
1250,1250,1250,4,0.004,2.172,0.000,2.176
1250,1250,1250,4,0.003,2.149,0.000,2.152
