A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,4,0.009,1.005,0.020,1.033
1250,1250,1250,4,0.012,1.102,0.022,1.136
1250,1250,1250,4,0.013,1.130,0.022,1.165
1250,1250,1250,4,0.012,1.115,0.017,1.144
1250,1250,1250,4,0.009,1.114,0.018,1.141
1250,1250,1250,4,0.009,1.119,0.019,1.148
1250,1250,1250,4,0.009,1.111,0.015,1.136
1250,1250,1250,4,0.010,1.112,0.019,1.140
1250,1250,1250,4,0.012,1.110,0.012,1.134
1250,1250,1250,4,0.012,1.101,0.016,1.129
1250,1250,1250,4,0.010,1.112,0.017,1.138
1250,1250,1250,4,0.012,1.106,0.023,1.141
1250,1250,1250,4,0.013,1.102,0.022,1.136
1250,1250,1250,4,0.012,1.122,0.021,1.155
1250,1250,1250,4,0.012,1.104,0.030,1.146
