NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
2097152,2048,20,0,0.039267,5.500807,5.500807,5.526,5.542,0.016,99.99
2097152,2048,20,0,0.029578,2.425994,2.425994,2.445,2.457,0.012,99.99
2097152,2048,20,0,0.029578,2.255392,2.255392,2.279,2.287,0.008,99.99
2097152,2048,20,0,0.029453,2.548001,2.548001,2.575,2.579,0.004,99.99
2097152,2048,20,0,0.029547,4.298172,4.298172,4.309,4.330,0.020,99.99
2097152,2048,20,0,0.029677,5.918326,5.918326,5.938,5.950,0.012,99.99
2097152,2048,20,0,0.029581,4.975556,4.975556,4.998,5.007,0.008,99.98
2097152,2048,20,0,0.029135,3.115712,3.115712,3.138,3.147,0.008,99.99
2097152,2048,20,0,0.028789,6.296608,6.296608,6.319,6.327,0.008,99.99
2097152,2048,20,0,0.029737,3.898942,3.898942,3.918,3.930,0.012,99.99
