row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
5000,5000,8,0.354311,0.079726,0.412,0.074,0.131,734.40
5000,5000,8,0.187329,0.062147,0.218,0.047,0.147,771.09
5000,5000,8,0.180466,0.089274,0.239,0.047,0.125,769.54
5000,5000,8,0.174305,0.062105,0.234,0.045,0.115,771.79
5000,5000,8,0.207435,0.065022,0.259,0.050,0.121,766.25
5000,5000,8,0.240213,0.064360,0.276,0.053,0.126,762.14
5000,5000,8,0.196101,0.064793,0.225,0.047,0.137,772.73
5000,5000,8,0.192250,0.066481,0.224,0.048,0.143,764.27
5000,5000,8,0.207626,0.064791,0.239,0.049,0.139,769.42
5000,5000,8,0.188306,0.062863,0.231,0.049,0.145,771.73
5000,5000,8,0.196788,0.064120,0.202,0.048,0.167,773.38
5000,5000,8,0.185714,0.091620,0.239,0.049,0.139,771.40
5000,5000,8,0.191896,0.064565,0.250,0.048,0.117,771.50
5000,5000,8,0.187039,0.060329,0.225,0.048,0.145,772.17
5000,5000,8,0.226505,0.064352,0.249,0.052,0.148,763.91
5000,5000,8,0.166977,0.084492,0.226,0.046,0.131,771.07
5000,5000,8,0.186535,0.066112,0.241,0.047,0.120,766.71
5000,5000,8,0.210937,0.064312,0.257,0.049,0.121,767.48
5000,5000,8,0.193199,0.062415,0.211,0.049,0.162,764.62
5000,5000,8,0.177184,0.089636,0.228,0.048,0.139,766.57
5000,5000,8,0.248420,0.064533,0.271,0.055,0.149,762.46
5000,5000,8,0.187761,0.066615,0.234,0.047,0.132,771.29
5000,5000,8,0.209604,0.089763,0.276,0.053,0.126,764.23
5000,5000,8,0.190389,0.063956,0.238,0.049,0.134,764.37
5000,5000,8,0.171871,0.066295,0.204,0.046,0.148,770.59
5000,5000,8,0.178782,0.062831,0.205,0.045,0.144,771.63
5000,5000,8,0.184915,0.064303,0.226,0.047,0.135,769.47
5000,5000,8,0.183263,0.065231,0.224,0.048,0.144,771.35
5000,5000,8,0.199587,0.064488,0.245,0.048,0.127,771.37
