row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
5000,5000,8,0.169694,0.116088,0.278,0.049,0.071,718.02
5000,5000,8,0.071128,0.060440,0.120,0.025,0.066,743.77
5000,5000,8,0.079164,0.032427,0.126,0.027,0.071,737.76
5000,5000,8,0.078000,0.032332,0.111,0.024,0.072,749.86
5000,5000,8,0.066034,0.058172,0.113,0.024,0.065,753.03
5000,5000,8,0.110388,0.035462,0.164,0.030,0.057,733.17
5000,5000,8,0.084149,0.032433,0.101,0.024,0.078,751.93
5000,5000,8,0.076340,0.030061,0.140,0.024,0.043,749.65
5000,5000,8,0.087867,0.032429,0.114,0.025,0.068,741.62
5000,5000,8,0.072064,0.035459,0.115,0.024,0.069,752.02
5000,5000,8,0.086583,0.032438,0.117,0.025,0.069,749.08
5000,5000,8,0.070417,0.060474,0.111,0.024,0.073,756.79
5000,5000,8,0.083380,0.032485,0.140,0.026,0.055,753.65
5000,5000,8,0.087554,0.032521,0.113,0.024,0.071,758.09
5000,5000,8,0.099861,0.032671,0.128,0.026,0.066,752.82
5000,5000,8,0.075388,0.060461,0.126,0.026,0.065,744.88
5000,5000,8,0.106221,0.032448,0.154,0.028,0.052,747.80
5000,5000,8,0.096343,0.032649,0.141,0.026,0.054,750.79
5000,5000,8,0.097590,0.032970,0.143,0.027,0.062,749.31
5000,5000,8,0.087723,0.032665,0.106,0.026,0.090,751.27
5000,5000,8,0.116117,0.060899,0.169,0.032,0.065,740.67
5000,5000,8,0.079744,0.032346,0.110,0.026,0.088,748.74
5000,5000,8,0.079964,0.032283,0.121,0.027,0.079,746.50
5000,5000,8,0.133223,0.031810,0.187,0.032,0.046,737.61
5000,5000,8,0.098204,0.032351,0.131,0.026,0.067,751.54
5000,5000,8,0.126193,0.031562,0.180,0.030,0.045,739.43
5000,5000,8,0.099499,0.031848,0.139,0.026,0.057,748.18
5000,5000,8,0.072894,0.060402,0.135,0.027,0.064,749.73
5000,5000,8,0.099925,0.032423,0.157,0.027,0.046,747.49
5000,5000,8,0.123134,0.032456,0.152,0.031,0.074,738.10
5000,5000,8,0.093397,0.032347,0.139,0.026,0.053,741.80
5000,5000,8,0.097373,0.032481,0.133,0.026,0.060,749.00
5000,5000,8,0.073201,0.060471,0.110,0.025,0.077,743.20
5000,5000,8,0.081510,0.032459,0.110,0.025,0.078,747.42
5000,5000,8,0.120021,0.032494,0.157,0.028,0.052,745.73
5000,5000,8,0.107903,0.032434,0.145,0.026,0.051,747.98
5000,5000,8,0.082596,0.031335,0.100,0.024,0.084,755.25
