A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,2,0.022,1.594,0.010,1.625
1250,1250,1250,2,0.032,1.673,0.011,1.716
1250,1250,1250,2,0.027,1.669,0.009,1.705
1250,1250,1250,2,0.027,1.667,0.009,1.703
1250,1250,1250,2,0.026,1.663,0.009,1.699
1250,1250,1250,2,0.027,1.668,0.012,1.707
1250,1250,1250,2,0.027,1.669,0.028,1.724
1250,1250,1250,2,0.026,1.658,0.010,1.695
1250,1250,1250,2,0.027,1.662,0.012,1.701
1250,1250,1250,2,0.026,1.659,0.010,1.695
1250,1250,1250,2,0.026,1.659,0.010,1.695
1250,1250,1250,2,0.027,1.658,0.010,1.696
1250,1250,1250,2,0.026,1.658,0.010,1.695
1250,1250,1250,2,0.027,1.658,0.010,1.695
1250,1250,1250,2,0.027,1.666,0.011,1.705
