A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
1250,1250,1250,16,0.238,0.782,0.601,1.620
1250,1250,1250,16,0.241,0.780,0.617,1.638
1250,1250,1250,16,0.213,0.772,0.477,1.462
1250,1250,1250,16,0.328,0.784,0.814,1.925
1250,1250,1250,16,0.243,0.769,0.495,1.507
1250,1250,1250,16,0.244,0.776,0.723,1.742
1250,1250,1250,16,0.270,0.774,0.505,1.550
1250,1250,1250,16,0.231,0.772,0.540,1.544
1250,1250,1250,16,0.286,0.763,0.377,1.426
1250,1250,1250,16,0.288,0.765,0.424,1.476
1250,1250,1250,16,0.256,0.772,0.592,1.620
1250,1250,1250,16,0.242,0.770,0.425,1.438
1250,1250,1250,16,0.240,0.773,0.723,1.736
1250,1250,1250,16,0.245,0.766,0.654,1.665
1250,1250,1250,16,0.224,0.774,0.522,1.520
