NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
262144,2048,16,4,0.003363,9.826924,9.826924,39.128,10.151,0.308,388.49
262144,2048,16,4,0.009065,9.908138,9.908138,39.456,10.275,0.438,388.26
262144,2048,16,4,0.008965,9.856065,9.856065,39.241,10.210,0.409,388.34
262144,2048,16,4,0.009008,9.834397,9.834397,39.184,10.195,0.393,388.20
262144,2048,16,4,0.009978,9.837438,9.837438,39.202,10.199,0.404,388.33
262144,2048,16,4,0.009060,9.836952,9.836952,39.205,10.202,0.406,388.30
262144,2048,16,4,0.008942,9.840756,9.840756,39.190,10.198,0.412,388.36
262144,2048,16,4,0.009014,9.896180,9.896180,39.311,10.261,0.524,388.24
262144,2048,16,4,0.009060,9.806310,9.806310,39.139,10.165,0.328,388.26
262144,2048,16,4,0.013862,9.881788,9.881788,39.398,10.248,0.403,388.40
262144,2048,16,4,0.013912,9.892473,9.892473,39.441,10.260,0.402,388.36
262144,2048,16,4,0.013850,9.849530,9.849530,39.202,10.216,0.476,388.38
262144,2048,16,4,0.013824,9.875046,9.875046,39.371,10.244,0.402,388.29
262144,2048,16,4,0.013912,9.973890,9.973890,39.758,10.336,0.390,388.46
262144,2048,16,4,0.009064,9.889164,9.889164,39.427,10.248,0.362,388.26
262144,2048,16,4,0.013823,9.871956,9.871956,39.358,10.241,0.404,388.26
262144,2048,16,4,0.013802,9.926018,9.926018,39.537,10.296,0.432,388.24
262144,2048,16,4,0.008959,9.892401,9.892401,39.427,10.249,0.379,388.43
262144,2048,16,4,0.013864,9.883058,9.883058,39.400,10.251,0.420,388.44
262144,2048,16,4,0.009336,10.433737,10.433737,41.626,10.793,0.349,388.94
262144,2048,16,4,0.014016,10.054222,10.054222,40.097,10.420,0.402,388.70
262144,2048,16,4,0.008929,10.017468,10.017468,39.922,10.378,0.377,388.35
262144,2048,16,4,0.013845,9.866468,9.866468,39.300,10.235,0.453,388.44
262144,2048,16,4,0.013886,9.896493,9.896493,39.418,10.259,0.443,388.54
262144,2048,16,4,0.009029,9.931820,9.931820,39.593,10.291,0.373,388.35
262144,2048,16,4,0.013931,9.929456,9.929456,39.592,10.297,0.398,388.40
262144,2048,16,4,0.008900,9.855570,9.855570,39.241,10.214,0.424,388.37
262144,2048,16,4,0.008972,9.860488,9.860488,39.307,10.221,0.388,388.36
262144,2048,16,4,0.008976,9.958097,9.958097,39.706,10.316,0.360,388.42
262144,2048,16,4,0.008985,9.947347,9.947347,39.663,10.307,0.381,388.54
262144,2048,16,4,0.008981,9.926599,9.926599,39.567,10.286,0.369,388.29
262144,2048,16,4,0.009043,9.939782,9.939782,39.588,10.300,0.415,388.41
262144,2048,16,4,0.013927,9.929849,9.929849,39.564,10.294,0.424,388.46
262144,2048,16,4,0.009038,9.915605,9.915605,39.575,10.274,0.328,388.38
262144,2048,16,4,0.009008,9.968508,9.968508,39.709,10.325,0.405,388.51
262144,2048,16,4,0.009049,9.943871,9.943871,39.656,10.305,0.370,388.40
262144,2048,16,4,0.013963,9.889802,9.889802,39.453,10.254,0.365,388.31
262144,2048,16,4,0.008973,9.907198,9.907198,39.536,10.264,0.325,388.39
262144,2048,16,4,0.013819,9.921880,9.921880,39.541,10.294,0.415,388.14
262144,2048,16,4,0.008969,9.912670,9.912670,39.399,10.270,0.480,388.30
262144,2048,16,4,0.008956,9.959792,9.959792,39.626,10.319,0.451,388.42
262144,2048,16,4,0.008972,9.931003,9.931003,39.545,10.288,0.414,388.43
262144,2048,16,4,0.013978,9.952034,9.952034,39.714,10.320,0.372,388.46
262144,2048,16,4,0.009032,10.027990,10.027990,39.931,10.390,0.432,388.48
262144,2048,16,4,0.003496,9.937287,9.937287,39.547,10.277,0.371,388.42
262144,2048,16,4,0.008962,10.742908,10.742908,42.839,11.101,0.373,389.29
262144,2048,16,4,0.013972,10.745389,10.745389,42.820,11.143,0.395,387.85
262144,2048,16,4,0.009037,10.753599,10.753599,42.747,11.141,0.465,387.90
262144,2048,16,4,0.009032,10.748436,10.748436,42.812,11.132,0.382,388.02
262144,2048,16,4,0.008936,10.007335,10.007335,39.908,10.390,0.327,387.28
262144,2048,16,4,0.013794,9.915668,9.915668,39.582,10.286,0.352,388.23
262144,2048,16,4,0.009020,9.893897,9.893897,39.511,10.251,0.303,388.42
262144,2048,16,4,0.013904,9.999510,9.999510,39.879,10.368,0.410,388.59
262144,2048,16,4,0.013857,9.912455,9.912455,39.537,10.281,0.396,388.45
262144,2048,16,4,0.013901,9.950141,9.950141,39.679,10.322,0.391,388.23
262144,2048,16,4,0.008996,9.909571,9.909571,39.561,10.274,0.342,388.39
262144,2048,16,4,0.009148,9.917811,9.917811,39.579,10.277,0.327,388.34
262144,2048,16,4,0.003694,9.899038,9.899038,39.382,10.235,0.385,388.57
262144,2048,16,4,0.003252,9.970293,9.970293,39.702,10.309,0.335,388.41
262144,2048,16,4,0.013832,9.899338,9.899338,39.443,10.268,0.430,388.32
262144,2048,16,4,0.009019,9.903013,9.903013,39.502,10.264,0.343,388.20
262144,2048,16,4,0.013919,9.996567,9.996567,39.803,10.369,0.456,388.26
262144,2048,16,4,0.013871,9.859790,9.859790,39.255,10.226,0.459,388.36
262144,2048,16,4,0.008937,9.899959,9.899959,39.446,10.262,0.381,388.13
262144,2048,16,4,0.009035,9.880745,9.880745,39.340,10.239,0.417,388.28
262144,2048,16,4,0.013926,9.887954,9.887954,39.423,10.253,0.401,388.45
262144,2048,16,4,0.009107,9.898510,9.898510,39.429,10.263,0.430,388.38
262144,2048,16,4,0.013846,9.925780,9.925780,39.561,10.294,0.415,388.37
262144,2048,16,4,0.008947,9.931029,9.931029,39.633,10.287,0.325,388.42
262144,2048,16,4,0.013917,9.874772,9.874772,39.401,10.238,0.368,388.44
262144,2048,16,4,0.009039,9.915238,9.915238,39.516,10.274,0.381,388.33
262144,2048,16,4,0.013952,9.898842,9.898842,39.510,10.262,0.358,388.49
262144,2048,16,4,0.008952,9.935646,9.935646,39.608,10.293,0.361,388.31
262144,2048,16,4,0.013933,9.904482,9.904482,39.515,10.276,0.392,388.38
262144,2048,16,4,0.009070,9.869779,9.869779,39.377,10.232,0.358,388.37
262144,2048,16,4,0.008884,9.921950,9.921950,39.555,10.277,0.358,388.37
262144,2048,16,4,0.009012,9.873976,9.873976,39.381,10.234,0.355,388.27
262144,2048,16,4,0.008918,9.900538,9.900538,39.466,10.260,0.365,388.24
262144,2048,16,4,0.009003,10.002102,10.002102,39.815,10.360,0.435,388.54
262144,2048,16,4,0.013926,9.872090,9.872090,39.324,10.237,0.434,388.41
262144,2048,16,4,0.009070,9.920999,9.920999,39.572,10.281,0.360,388.40
262144,2048,16,4,0.013891,9.868586,9.868586,39.352,10.233,0.388,388.35
262144,2048,16,4,0.013915,9.858058,9.858058,39.310,10.224,0.389,388.32
262144,2048,16,4,0.008917,9.893752,9.893752,39.359,10.248,0.445,388.44
262144,2048,16,4,0.009000,9.855615,9.855615,39.226,10.213,0.436,388.38
262144,2048,16,4,0.008988,9.869611,9.869611,39.298,10.234,0.424,388.14
262144,2048,16,4,0.008986,10.787993,10.787993,43.003,11.147,0.393,389.30
262144,2048,16,4,0.013944,10.715321,10.715321,42.721,11.114,0.389,387.89
262144,2048,16,4,0.013896,10.710665,10.710665,42.720,11.106,0.372,388.00
262144,2048,16,4,0.009116,9.981074,9.981074,39.795,10.376,0.360,386.99
262144,2048,16,4,0.009022,9.998690,9.998690,39.856,10.359,0.379,388.40
262144,2048,16,4,0.009037,9.996271,9.996271,39.815,10.355,0.408,388.48
262144,2048,16,4,0.013837,9.962823,9.962823,39.714,10.329,0.408,388.43
262144,2048,16,4,0.008941,9.866524,9.866524,39.319,10.227,0.379,388.21
262144,2048,16,4,0.008976,9.863574,9.863574,39.321,10.223,0.364,388.23
262144,2048,16,4,0.013884,9.956738,9.956738,39.681,10.325,0.421,388.43
262144,2048,16,4,0.008997,9.908131,9.908131,39.497,10.269,0.395,388.50
262144,2048,16,4,0.008982,9.927153,9.927153,39.492,10.282,0.441,388.41
262144,2048,16,4,0.008963,9.934994,9.934994,39.578,10.295,0.413,388.49
262144,2048,16,4,0.009042,9.953381,9.953381,39.701,10.310,0.345,388.42
