NPoints,K,NClusters,processes,generate,classify,total,user,elapsed,sys,pCPU
2097152,1448,5,4,0.003521,0.256306,0.259827,0.771,0.261,0.000,295.64
2097152,1448,5,4,0.002919,0.234533,0.237452,0.715,0.238,0.000,300.21
2097152,1448,5,4,0.003256,0.253141,0.256397,0.737,0.257,0.031,298.63
2097152,1448,5,4,0.003048,0.214420,0.217468,0.658,0.218,0.000,301.62
2097152,1448,5,4,0.002926,0.241698,0.244624,0.726,0.245,0.000,295.94
2097152,1448,5,4,0.004107,0.230004,0.234111,0.693,0.235,0.000,295.09
2097152,1448,5,4,0.002911,0.235123,0.238034,0.671,0.239,0.039,297.37
