row,columns,threads,init,dotprod,user,elapsed,sys,pCPU
10000,10000,8,0.524584,0.146796,0.562,0.116,0.314,755.53
10000,10000,8,0.373481,0.129991,0.451,0.093,0.279,783.25
10000,10000,8,0.413369,0.156366,0.519,0.102,0.275,778.59
10000,10000,8,0.382638,0.158899,0.477,0.098,0.289,780.37
10000,10000,8,0.409584,0.130848,0.477,0.099,0.301,783.63
10000,10000,8,0.372081,0.156052,0.448,0.093,0.281,784.16
10000,10000,8,0.377879,0.158550,0.466,0.096,0.284,783.36
10000,10000,8,0.395525,0.158831,0.464,0.098,0.304,784.01
10000,10000,8,0.395614,0.159013,0.475,0.098,0.287,780.05
10000,10000,8,0.396615,0.158825,0.466,0.098,0.301,783.94
10000,10000,8,0.368950,0.156585,0.440,0.093,0.289,783.57
10000,10000,8,0.375199,0.158454,0.445,0.095,0.302,783.87
10000,10000,8,0.397156,0.158784,0.502,0.099,0.275,784.43
10000,10000,8,0.389005,0.158935,0.468,0.099,0.308,781.97
10000,10000,8,0.377935,0.157736,0.466,0.094,0.271,782.81
10000,10000,8,0.377936,0.158696,0.477,0.097,0.283,782.42
10000,10000,8,0.415076,0.130873,0.465,0.100,0.315,783.07
10000,10000,8,0.403474,0.157053,0.482,0.100,0.304,781.95
10000,10000,8,0.381968,0.129966,0.483,0.093,0.243,779.14
10000,10000,8,0.361175,0.158685,0.480,0.095,0.265,783.77
10000,10000,8,0.382928,0.158866,0.488,0.098,0.279,783.84
10000,10000,8,0.383734,0.160887,0.481,0.098,0.287,783.72
10000,10000,8,0.385740,0.156171,0.487,0.098,0.280,784.18
10000,10000,8,0.381965,0.129969,0.435,0.093,0.294,783.80
10000,10000,8,0.361942,0.158795,0.468,0.095,0.277,783.21
10000,10000,8,0.383766,0.160460,0.473,0.098,0.294,783.63
10000,10000,8,0.384160,0.158806,0.493,0.098,0.276,783.60
10000,10000,8,0.382689,0.160863,0.475,0.098,0.294,783.94
10000,10000,8,0.378765,0.130094,0.455,0.093,0.273,783.74
10000,10000,8,0.360379,0.158610,0.460,0.095,0.285,784.07
10000,10000,8,0.382718,0.160692,0.473,0.098,0.297,783.94
10000,10000,8,0.380813,0.158754,0.470,0.098,0.297,783.80
10000,10000,8,0.380268,0.158829,0.481,0.098,0.287,783.95
10000,10000,8,0.376331,0.131415,0.450,0.094,0.291,784.09
10000,10000,8,0.374082,0.158846,0.459,0.098,0.306,783.04
10000,10000,8,0.403425,0.130662,0.480,0.098,0.289,783.66
10000,10000,8,0.373976,0.130048,0.428,0.093,0.300,783.88
10000,10000,8,0.355363,0.158648,0.487,0.095,0.257,784.18
10000,10000,8,0.379046,0.158784,0.491,0.098,0.274,784.02
10000,10000,8,0.384563,0.156378,0.479,0.098,0.286,780.80
