A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
5000,5000,5000,4,0.033,91.261,0.000,91.294
5000,5000,5000,4,0.044,90.344,0.000,90.388
5000,5000,5000,4,0.044,90.190,0.000,90.234
5000,5000,5000,4,0.041,90.642,0.000,90.683
5000,5000,5000,4,0.037,88.533,0.000,88.570
5000,5000,5000,4,0.037,90.170,0.000,90.207
5000,5000,5000,4,0.039,89.913,0.000,89.952
5000,5000,5000,4,0.040,90.708,0.000,90.747
5000,5000,5000,4,0.055,90.207,0.000,90.262
5000,5000,5000,4,0.060,89.349,0.000,89.409
5000,5000,5000,4,0.035,90.424,0.000,90.458
5000,5000,5000,4,0.056,90.718,0.000,90.774
5000,5000,5000,4,0.035,90.494,0.000,90.529
5000,5000,5000,4,0.038,89.825,0.000,89.863
5000,5000,5000,4,0.043,91.679,0.000,91.723
