A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
500,500,500,4,0.005,0.056,0.008,0.068
500,500,500,4,0.007,0.057,0.009,0.073
500,500,500,4,0.007,0.055,0.006,0.068
500,500,500,4,0.007,0.060,0.007,0.074
500,500,500,4,0.004,0.057,0.003,0.065
500,500,500,4,0.007,0.062,0.010,0.080
500,500,500,4,0.007,0.062,0.011,0.080
500,500,500,4,0.005,0.059,0.003,0.067
500,500,500,4,0.005,0.061,0.003,0.069
500,500,500,4,0.007,0.061,0.005,0.072
500,500,500,4,0.008,0.066,0.011,0.084
500,500,500,4,0.006,0.061,0.005,0.072
500,500,500,4,0.008,0.065,0.011,0.084
500,500,500,4,0.005,0.061,0.003,0.069
500,500,500,4,0.007,0.061,0.005,0.073
