A_rows,A_columns,B_columns,processes,read,dotprod,write,elapsed
500,500,500,2,0.004,0.083,0.002,0.089
500,500,500,2,0.004,0.086,0.002,0.093
500,500,500,2,0.004,0.089,0.002,0.095
500,500,500,2,0.005,0.091,0.002,0.098
500,500,500,2,0.004,0.093,0.002,0.099
500,500,500,2,0.005,0.095,0.002,0.102
500,500,500,2,0.004,0.095,0.002,0.101
500,500,500,2,0.005,0.095,0.002,0.102
500,500,500,2,0.004,0.097,0.002,0.103
500,500,500,2,0.004,0.099,0.005,0.109
500,500,500,2,0.004,0.099,0.002,0.105
500,500,500,2,0.004,0.099,0.002,0.105
500,500,500,2,0.004,0.099,0.002,0.105
500,500,500,2,0.005,0.099,0.002,0.105
500,500,500,2,0.004,0.099,0.002,0.106
