A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
250,250,250,16,0.122,0.522,0.644
250,250,250,16,0.081,0.419,0.500
250,250,250,16,0.063,0.346,0.409
250,250,250,16,0.098,0.424,0.522
250,250,250,16,0.097,0.442,0.539
250,250,250,16,0.160,0.403,0.564
250,250,250,16,0.087,0.540,0.627
250,250,250,16,0.092,0.459,0.552
250,250,250,16,0.090,0.568,0.658
250,250,250,16,0.099,0.585,0.684
250,250,250,16,0.093,0.394,0.487
250,250,250,16,0.088,0.418,0.506
250,250,250,16,0.128,0.577,0.705
250,250,250,16,0.096,0.451,0.547
250,250,250,16,0.095,0.374,0.469
250,250,250,16,0.128,0.546,0.674
250,250,250,16,0.132,0.563,0.696
250,250,250,16,0.088,0.391,0.479
250,250,250,16,0.125,0.545,0.670
250,250,250,16,0.130,0.589,0.719
250,250,250,16,0.108,0.606,0.714
250,250,250,16,0.088,0.413,0.500
250,250,250,16,0.070,0.488,0.558
250,250,250,16,0.127,0.436,0.562
250,250,250,16,0.112,0.539,0.652
250,250,250,16,0.139,0.387,0.525
250,250,250,16,0.155,0.387,0.542
250,250,250,16,0.109,0.406,0.516
250,250,250,16,0.128,0.543,0.671
250,250,250,16,0.128,0.544,0.672
250,250,250,16,0.097,0.450,0.547
250,250,250,16,0.096,0.376,0.472
250,250,250,16,0.129,0.435,0.564
250,250,250,16,0.065,0.349,0.413
250,250,250,16,0.159,0.831,0.990
250,250,250,16,0.130,0.514,0.644
250,250,250,16,0.112,0.382,0.495
250,250,250,16,0.130,0.618,0.748
250,250,250,16,0.159,0.608,0.767
250,250,250,16,0.131,0.570,0.701
250,250,250,16,0.096,0.441,0.536
250,250,250,16,0.097,0.574,0.671
250,250,250,16,0.066,0.685,0.752
250,250,250,16,0.096,0.605,0.701
250,250,250,16,0.092,0.439,0.531
250,250,250,16,0.094,0.552,0.646
250,250,250,16,0.096,0.504,0.600
250,250,250,16,0.126,0.521,0.647
250,250,250,16,0.097,0.501,0.598
250,250,250,16,0.091,0.404,0.495
250,250,250,16,0.119,0.552,0.671
250,250,250,16,0.063,0.634,0.697
250,250,250,16,0.092,0.411,0.504
250,250,250,16,0.097,0.534,0.630
250,250,250,16,0.112,0.555,0.667
250,250,250,16,0.066,0.340,0.406
250,250,250,16,0.100,0.532,0.632
250,250,250,16,0.099,0.543,0.643
250,250,250,16,0.095,0.353,0.449
250,250,250,16,0.084,0.628,0.712
250,250,250,16,0.129,0.582,0.712
250,250,250,16,0.064,0.399,0.463
250,250,250,16,0.096,0.699,0.795
250,250,250,16,0.071,0.688,0.759
250,250,250,16,0.103,0.607,0.710
250,250,250,16,0.130,0.609,0.739
250,250,250,16,0.070,0.610,0.680
250,250,250,16,0.119,0.597,0.716
250,250,250,16,0.128,0.466,0.594
250,250,250,16,0.095,0.521,0.617
250,250,250,16,0.098,0.596,0.694
250,250,250,16,0.115,0.517,0.632
250,250,250,16,0.171,0.423,0.594
250,250,250,16,0.125,0.615,0.740
250,250,250,16,0.053,0.467,0.521
250,250,250,16,0.096,0.623,0.718
250,250,250,16,0.096,0.472,0.568
250,250,250,16,0.163,0.750,0.913
250,250,250,16,0.099,0.587,0.685
250,250,250,16,0.133,0.394,0.528
250,250,250,16,0.088,0.395,0.484
250,250,250,16,0.094,0.614,0.708
250,250,250,16,0.102,0.531,0.633
250,250,250,16,0.092,0.622,0.714
250,250,250,16,0.097,0.547,0.644
250,250,250,16,0.096,0.523,0.620
250,250,250,16,0.096,0.414,0.511
250,250,250,16,0.128,0.490,0.619
250,250,250,16,0.122,0.737,0.858
250,250,250,16,0.091,0.343,0.434
250,250,250,16,0.064,0.333,0.397
250,250,250,16,0.123,0.618,0.741
250,250,250,16,0.094,0.445,0.539
250,250,250,16,0.063,0.339,0.402
250,250,250,16,0.081,0.367,0.448
250,250,250,16,0.064,0.628,0.692
250,250,250,16,0.069,0.347,0.416
250,250,250,16,0.163,0.797,0.960
250,250,250,16,0.098,0.541,0.640
250,250,250,16,0.120,0.476,0.596
